time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,copy_residual,copy_residual_relative,copy_repair,copy_repair_relative,fix_gross,fix_gross_relative,fix_events,copy_repair_events
1.6632e6,0.1802088382382821,0.013300458953493046,2.5571788258593435,0.18873464999042752,0.0,0.0,0.0,0.12452055895455971,0.009190340492907673,0.006788535256492703,0.0005010333311950789,343.3269806308959,25.33952528715588,3.4490749897109487,0.2545617672065141,4672.0,1.4622817e7
1.6848e6,0.1641354775107643,0.012241585933817214,2.578641367283887,0.19232076068399914,0.0,0.0,0.0,0.1441888785281459,0.010753924587006313,0.007066464612694272,0.0005270325167750658,358.4213514046614,26.73185493031091,3.4490749897109487,0.25723962009345175,4672.0,1.4819374e7
1.7064e6,0.1486577277237002,0.011230379473808524,2.600360300869112,0.19644476876213715,0.0,0.0,0.0,0.14389642533294786,0.010870685877945927,0.007121977079786089,0.0005380312643983257,373.5170715323022,28.2174261471957,3.4490749897109487,0.2605610993871046,4672.0,1.5015934e7
1.728e6,0.1351639663696728,0.010425816799411142,2.647130715097411,0.20418533593648808,0.0,0.0,0.0,0.08108000756869528,0.006254072943480552,0.0071353536443657115,0.0005503825604799588,388.8522156549557,29.99395527781223,3.449113104040654,0.2660459167410508,4722.0,1.5212447e7
1.7496e6,0.12218728696249369,0.009489152973884928,2.702567764283172,0.20988336491541182,0.0,0.0,0.0,0.10555120737173838,0.00819718301492464,0.0071663730376117065,0.0005565457071053216,404.31224802142185,31.399181257443285,3.4493880971039075,0.26788197146699955,6902.0,1.5407917e7
1.7712e6,0.11047923202873978,0.008642191692165704,2.762222085796516,0.216073666728398,0.0,0.0,0.0,0.12081371215523026,0.009450602075293404,0.0071736058633335145,0.0005611523166530039,419.7961539416042,32.838378466040375,3.4500482197190276,0.2698785782134203,11222.0,1.5602315e7
1.7928e6,0.09927717628556101,0.007820540202732141,2.817000440832957,0.22190866040830817,0.0,0.0,0.0,0.12798431519360073,0.010081939472288047,0.00719149450850975,0.0005665085775582008,435.3257690213312,34.29270256563249,3.4508272179339032,0.2718382411774887,15460.0,1.5796756e7
1.8144e6,0.09011182553126805,0.0071367634067071835,2.8882821247842,0.2287489578074724,0.0,0.0,0.0,0.13490560049518285,0.010684384067214349,0.007238398689921095,0.000573273691758258,450.8772032596025,35.709008292425025,3.452678520966283,0.27344856880083784,22418.0,1.5988518e7
1.836e6,0.08212240013229917,0.006522221784493568,2.96609262182436,0.23556927076805922,0.0,0.0,0.0,0.15583102446912075,0.012376215269586455,0.007296827366364583,0.0005795194286811147,466.58420528987,37.056462830356516,3.455633394536817,0.27444896116969447,29118.000000000004,1.6180836e7
1.8576e6,0.0747497028773302,0.005965042199770202,3.045876581145212,0.24306159947738254,0.0,0.0,0.0,0.15878286005723735,0.012670906028830174,0.007333480612386239,0.000585213313768866,482.3705344691438,38.49327132117317,3.45913970028426,0.2760400843459919,33438.0,1.6375236e7
1.8792e6,0.0673796903384257,0.005396793688298697,3.1312549856785457,0.2507986762522518,0.0,0.0,0.0,0.16582642126123237,0.013281910010580935,0.007399618539004963,0.0005926743567170431,498.2844833015769,39.91022429685388,3.4636705750227463,0.2774235886769649,37758.0,1.6569636e7
1.9008e6,0.06030014148262001,0.004844649841736533,3.2189987704056775,0.25862164665220233,0.0,0.0,0.0,0.17409464428292834,0.013987157743494906,0.007478728608765373,0.0006008579827509784,514.3399166585564,41.323232990371245,3.469002800680967,0.2787075362691574,42146.0,1.6764002e7
1.9224e6,0.054082468275503504,0.004335980958083742,3.2834573263944136,0.2632462773592629,0.0,0.0,0.0,0.2141515793223815,0.017169282388429626,0.007580656468883708,0.0006077677877313577,530.6350991975304,42.5428749681072,3.4703558268796217,0.278230584936906,43936.0,1.6959666e7
1.944e6,0.04990696901149966,0.003958389231752712,3.365574796779375,0.26694177783387446,0.0,0.0,0.0,0.2953470649443702,0.02342555888810194,0.007572760494560959,0.0006006362275658401,547.0112446072254,43.38639398842196,3.470355842120815,0.27525252420430174,43938.0,1.7156225e7
1.9656e6,0.046232168668485694,0.003625283667037137,3.4387126678607953,0.2696457732671135,0.0,0.0,0.0,0.3673279791431314,0.028803929419410696,0.007616011328482457,0.0005972075780199738,563.3787773225163,44.177202554092695,3.470355842120815,0.27212706467355047,43938.0,1.7352785e7
1.9872e6,0.04267873849271841,0.0033173601291545014,3.500705232019991,0.27210504271598923,0.0,0.0,0.0,0.42769703759570904,0.033244307352701404,0.007784138682770669,0.0006050504822310619,580.0079274898051,45.083225071811626,3.470355842120815,0.26974602603575465,43938.0,1.7549345e7
2.0088e6,0.039434935033289015,0.0030493590982090674,3.5537065813857285,0.2747951147165921,0.0,0.0,0.0,0.4789600261120847,0.03703622465893347,0.007899325702800454,0.000610825925824843,596.96058180377,46.160775461119876,3.470355842120815,0.2683499073159622,43938.0,1.7745905e7
2.0304e6,0.03654142843185719,0.0028201544920289233,3.5994751451090075,0.27779636525034734,0.0,0.0,0.0,0.5231999581070594,0.04037895548709881,0.007943247757703782,0.0006130353083202793,614.0809016817558,47.39286578729286,3.470355842120815,0.2678313365703974,43938.0,1.7942464e7
2.052e6,0.03400832357203854,0.0026252551597132673,3.639330273617744,0.28093624075522106,0.0,0.0,0.0,0.5618506345458322,0.043371772625168656,0.007951778609770466,0.0006138334863809985,631.2505830578397,48.729066186818386,3.470355842120815,0.26789234586262906,43938.0,1.8139024e7
2.0736e6,0.032437098979663966,0.0025064082873730406,3.676940119357012,0.2841164431230004,0.0,0.0,0.0,0.5985831289302854,0.04625240117721819,0.007954350006580778,0.0006146310676444592,648.4288959335887,50.10397383437445,3.470356515592835,0.26815376850667483,43940.0,1.8335581e7
2.0952e6,0.030904897389201224,0.0023914502617422787,3.7105569708736232,0.2871264164852389,0.0,0.0,0.0,0.6315927852524347,0.04887324855297015,0.007958467060474234,0.0006158337267765419,665.614174136949,51.505855881449314,3.470356515592835,0.2685394775150881,43940.0,1.853214e7
2.1168e6,0.029292128686329817,0.0022697856148470555,3.740320019991793,0.2898295534343957,0.0,0.0,0.0,0.6609945898589864,0.05121908440385321,0.007965164961080596,0.0006172039267662317,682.8158067666321,52.9099647343956,3.470356515592835,0.26891064769763307,43940.0,1.8728699e7
2.1384e6,0.0277980172682643,0.0021550910397348916,3.7711324469324854,0.2923637922664393,0.0,0.0,0.0,0.6915932260783902,0.053617002618545,0.00796944471767323,0.0006178454649111935,700.0251183274204,54.27070015598198,3.4703586700599725,0.26904576690981835,43942.0,1.8925256e7
2.16e6,0.026228989499782352,0.0020337584048591376,3.7997532371940475,0.2946274419987943,0.0,0.0,0.0,0.7201258338102384,0.0558375291995111,0.007971205770576839,0.000618075916836477,717.2414878148454,55.61388112833012,3.4703586700599725,0.2690866574623019,43942.0,1.9121816e7
2.1816e6,0.02559044767480968,0.0019846072403049723,3.8256365418785645,0.29668828291976884,0.0,0.0,0.0,0.7445672122145732,0.05774316647493821,0.007971062640659485,0.0006181770960243639,734.459251023421,56.95926721613669,3.4703586700599725,0.26913553958009756,43942.0,1.9318375e7
2.2032e6,0.024585378244704664,0.0019065653386091473,3.850432099580218,0.2985961943176065,0.0,0.0,0.0,0.767068440283351,0.05948519831702047,0.007971924456839911,0.0006182127726546234,751.677293845115,58.29163415752177,3.4703586700599725,0.26912197514403396,43942.0,1.9514935e7
2.2248e6,0.023582660399009796,0.001827153939636149,3.8774300904417394,0.3004182541555765,0.0,0.0,0.0,0.7918730953287192,0.06135330032070908,0.0079784406627998,0.0006181592340531692,768.9020056552519,59.57353008764524,3.4703597122730128,0.26887896924896787,43946.0,1.9711491e7
2.2464e6,0.023286585913171537,0.001800475780583807,3.908523488220522,0.30219981171235377,0.0,0.0,0.0,0.8207404530224026,0.06345813479580863,0.007988207632031563,0.0006176334489467764,786.1438207943087,60.783187139303294,3.470360049098658,0.26832182448752845,45084.0,1.9906913e7
2.268e6,0.023351304886629256,0.0017999618076386871,3.941842237304421,0.3038444966280072,0.0,0.0,0.0,0.8518944154565788,0.06566559853537454,0.00798916521221297,0.0006158196437721534,803.4006614932207,61.92761021023166,3.4703600490988125,0.26750177677264103,49404.0,2.0099153e7
2.2896e6,0.023529116042173098,0.0018050424778476822,3.981729234677187,0.3054594312424697,0.0,0.0,0.0,0.8895472535798523,0.06824185727531823,0.007991479477464241,0.0006130685016732442,820.6624782227049,62.9573431705902,3.4703600518240156,0.26622960657511757,53726.0,2.0291392e7
