time,untagged,untagged_relative,overclaimed,overclaimed_relative,orphaned,orphaned_relative,orphaned_volume_fraction,nonpositive_mass,nonpositive_mass_fraction,source_negative,source_negative_relative,source_minimum,repair_moved,repair_moved_relative,repair_gross,repair_gross_relative,repair_events,increment_left,increment_left_relative,increment_left_net_abs,increment_left_net_abs_relative,increment_moved_net_abs,increment_moved_net_abs_relative
5.3352e6,1.0855308095134878e-5,1.0160132767307997e-14,0.00021939523191303074,2.0534513301835715e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.008133384618851668,161293.7831904257,0.00015096450855140413,161293.78319042572,0.00015096450855140415,4678.0,-0.00035666683200249804,-3.338258421669874e-13,0.00035666683200249804,3.338258421669874e-13,9.102518570538011e8,0.8519592109504626
5.3568e6,1.1036055416884568e-5,1.0334807844500212e-14,0.00022213176971906838,2.0801718272391622e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.00879703231865435,161293.7831904257,0.00015104493343112425,161293.78319042572,0.00015104493343112428,4678.0,-0.0003606061568946825,-3.376926989101961e-13,0.0003606061568946825,3.376926989101961e-13,9.167886083057016e8,0.8585344802065975
5.3784e6,1.1162841592794483e-5,1.0457779300013858e-14,0.00022460994733140098,2.104232366152841e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.008815775953754346,161293.7831904257,0.00015110621906151166,161293.78319042572,0.0001511062190615117,4678.0,-0.00036387034080704797,-3.408877288411229e-13,0.00036387034080704797,3.408877288411229e-13,9.190038205427461e8,0.8609581217482499
5.4e6,1.1667333524800394e-5,1.0925569205954328e-14,0.00022315043749698282,2.0896338850945654e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.009703474475974536,161293.7831904257,0.00015103934305052253,161293.78319042572,0.00015103934305052256,4678.0,-0.00036571076665260267,-3.4246027868599753e-13,0.00036571076665260267,3.4246027868599753e-13,9.231305213062382e8,0.8644414231599289
5.4216e6,1.0473931573924415e-5,9.816298976044746e-15,0.00022823922424664895,2.1390864046156462e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.010085096344714864,161293.7831904257,0.00015116654024323732,161293.78319042572,0.00015116654024323735,4678.0,-0.0003709964544839748,-3.4770249266606053e-13,0.0003709964544839748,3.4770249266606053e-13,9.240978901123742e8,0.8660760392075358
5.4432e6,1.0222565646358184e-5,9.583404169345144e-15,0.0002298591607586528,2.1548731656826422e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.010428156464142413,161293.7831904257,0.00015120895945209726,161293.78319042572,0.00015120895945209729,4678.0,-0.00037366934031425803,-3.5030582710905445e-13,0.00037366934031425803,3.5030582710905445e-13,9.309732763297884e8,0.8727645765822253
5.4648e6,9.981191554258536e-6,9.355736557245151e-15,0.0002322095014402416,2.1765847391609596e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.011587929274367862,161293.7831904257,0.00015118657283029555,161293.78319042572,0.00015118657283029558,4678.0,-0.0003748247298101913,-3.5133695292608245e-13,0.0003748247298101913,3.5133695292608245e-13,9.351014345620284e8,0.8765048369732696
5.4864e6,1.0469028462909371e-5,9.819631880827608e-15,0.00023068432129312426,2.1637491232376751e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012213709599958364,161293.7831904257,0.0001512886875040404,161293.78319042572,0.00015128868750404042,4678.0,-0.0003712165192223383,-3.4818986114710726e-13,0.0003712165192223383,3.4818986114710726e-13,9.358953690263516e8,0.8778415337554746
5.508e6,9.984349629029138e-6,9.371738149589679e-15,0.00023448738725248593,2.2009990378566276e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.012177753448195256,161293.7831904257,0.0001513972524381986,161293.78319042572,0.00015139725243819863,4678.0,-0.00037601256453171055,-3.529414961092003e-13,0.00037601256453171055,3.529414961092003e-13,9.383339313427533e8,0.8807604128617079
5.5296e6,9.726000733751025e-6,9.128166453115592e-15,0.00023389282292626929,2.1951598383610926e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013338040686800206,161293.7831904257,0.00015137943550690185,161293.78319042572,0.00015137943550690188,4678.0,-0.0003765919816695081,-3.5344376251780827e-13,0.0003765919816695081,3.5344376251780827e-13,9.58004074492731e8,0.8991178279872476
5.5512e6,9.574073634397462e-6,8.989455857167625e-15,0.00023512685942475266,2.207694033226739e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.013300395859823943,161293.7831904257,0.0001514447662922271,161293.78319042572,0.00015144476629222714,4678.0,-0.0003792779211766643,-3.561182272263253e-13,0.0003792779211766643,3.561182272263253e-13,9.598766532906643e8,0.9012640943225068
5.5728e6,1.052372917978278e-5,9.873862286265422e-15,0.0002330252731821243,2.186353731945016e-13,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.014459664087007882,161293.7831904257,0.0001513334841334152,161293.78319042572,0.00015133348413341524,4678.0,-0.00037645051370670913,-3.5320374236489454e-13,0.00037645051370670913,3.5320374236489454e-13,9.646253119020419e8,0.9050572591571754
