inclusive_s,method,signature
0.047887,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosModel{ClimaAtmos.AtmosWater{ClimaAtmos.EquilibriumMicrophysics0M; ClimaAtmos.QuadratureCloud; ClimaAtmos.Implicit; Nothing; ClimaAtmos.SGSQuadrature{3; StaticArraysCore.SVector{3; Float64}; StaticArraysCore.SVector{3; Float64}; ClimaAtmos.GaussianSGS; Float64}; ClimaAtmos.FixedTerminalVelocity
0.041809,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosTurbconv{ClimaAtmos.EDMFXModel{ClimaAtmos.InvZEntrainment; ClimaAtmos.BuoyancyVelocityDetrainment; Val{false}; Val{false}; Val{false}; Val{false}; Val{false}; Val{false}; Val{false}; ClimaAtmos.SmoothMinimumBlending}; Nothing; Nothing; Nothing; Nothing}; String; Tuple{DataType; DataType}; Tupl
0.036784,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosTagging{Nothing; Nothing; ClimaAtmos.EnergySourceTaggingModel{Tuple{ClimaAtmos.EnergySourceTag{:strat; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; ClimaAtmos.EnergySourceTag{:tropo; ClimaAtmos.TanhAltitudeRegion{Float64}; Tuple{}}; ClimaAtmos.EnergySourceTag{:rad; Nothing; Tuple{Symbol}}; Clima
0.033641,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosWater{ClimaAtmos.EquilibriumMicrophysics0M; ClimaAtmos.QuadratureCloud; ClimaAtmos.Implicit; Nothing; ClimaAtmos.SGSQuadrature{3; StaticArraysCore.SVector{3; Float64}; StaticArraysCore.SVector{3; Float64}; ClimaAtmos.GaussianSGS; Float64}; ClimaAtmos.FixedTerminalVelocity; ClimaAtmos.FixedTerminalVel
0.031457,ClimaAtmos.any_reltype /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{typeof(Core.kwcall); @NamedTuple{warn::Bool}; typeof(ClimaAtmos.any_reltype); Bool; ClimaAtmos.AtmosSurface{ClimaAtmos.SurfaceConditions.MoninObukhov{Float64; ClimaAtmos.SurfaceConditions.HeatFluxes{Float64; Float64}; Float64}; ClimaAtmos.SurfaceConditions.AnalyticTemperature{Returns{Float64}}; ClimaAtmos.SurfaceConditions.SurfaceBoundaryOverrides{Float64; Float64; Nothing; Nothing; Nothing;
0.028812,ClimaParams._get_typed_value /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaParams/9BD0g/src/ClimaParams.jl:146,Tuple{typeof(ClimaParams._get_typed_value); ClimaParams.ParamDict{Float64}; Float64; String; String}
0.028783,YAML._print /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/YAML/Otn8f/src/writer.jl:115,Tuple{typeof(YAML._print); IOStream; String; Int64}
0.028281,ClimaCore.Fields.Field /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/Fields.jl:37,Tuple{Type{ClimaCore.Fields.Field}; Type{Float64}; ClimaCore.Spaces.FiniteDifferenceSpace{ClimaCore.Grids.FiniteDifferenceGrid{ClimaCore.Topologies.IntervalTopology{ClimaComms.SingletonCommsContext{ClimaComms.CPUSingleThreaded}; ClimaCore.Meshes.IntervalMesh{ClimaCore.Meshes.Uniform; ClimaCore.Domains.IntervalDomain{ClimaCore.Geometry.ZPoint{Float64}; Tuple{Symbol; Symbol}}; LinRange{ClimaCore.Geo
0.026636,ClimaAtmos.tag_region_from_config /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/config/tracer_config.jl:232,Tuple{typeof(ClimaAtmos.tag_region_from_config); Dict{Any; Any}; Type{Float64}}
0.026363,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{detr_buoy_coeff::Float64; mixing_length_Ri_crit::Float64; Tq_correlation_coefficient::Float64; detr_massflux_vertdiv_coeff::Float64; mixing_length_Prandtl_number_scale::Float64; cloud_fraction_steepness_scale::Float64; mixing_length_Prandtl_number_0::Float64; mixing_length_eddy_viscosity_coefficient::Fl
