exclusive_s,inferences,specializations,method
0.236132,3,2,CreateParametersExt.ThermodynamicsParameters /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/Thermodynamics/keokW/ext/CreateParametersExt.jl:9
0.234139,86,83,Base.ht_keyindex2_shorthash! dict.jl:265
0.227525,42,16,ClimaCore.DataLayouts.get_struct /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:263
0.227329,2803,2798,Base.Iterators.map iterators.jl:62
0.223825,109,47,ClimaCore.DataLayouts.view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:183
0.222052,497,460,Base.merge namedtuple.jl:334
0.213646,79,42,ClimaCore.DataLayouts.slice_every_arg /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:286
0.212539,223,131,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24
0.203988,762,170,Base.checkbounds abstractarray.jl:697
0.199459,376,273,Base.collect_to! array.jl:844
0.192980,453,140,Base.Broadcast._broadcast_getindex broadcast.jl:649
0.192916,4,4,ClimaAtmos.set_cloud_fraction! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.189916,950,950,UnrolledUtilities.unrolled_flatten /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:426
0.186814,1869,1085,Base.Broadcast.Broadcasted broadcast.jl:176
0.185816,50,40,Base.grow_to! abstractdict.jl:589
0.183860,18,4,StaticArrays.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/indexing.jl:259
0.182735,42,42,ClimaCore.DataLayouts.foreach_pool_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
0.181435,4972,3268,Base.Generator generator.jl:33
0.181260,21,21,ClimaCore.MatrixFields.expand_child_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:422
0.176450,1635,1012,Base.tail essentials.jl:514
0.174653,209,116,Core.Array boot.jl:577
0.171535,2,2,ClimaAtmos.NonOrographicGravityWaveParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:617
0.171504,4,4,ClimaCore.Topologies._Topology2D /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Topologies/topology2d.jl:313
0.171193,3851,1039,Core.NamedTuple boot.jl:727
0.170862,2977,2977,UnrolledUtilities.inferred_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:127
0.170265,3654,836,Base.iterate tuple.jl:69
0.168884,385,235,Base.Broadcast.broadcasted broadcast.jl:1327
0.159146,176,157,Base.afoldl operators.jl:549
0.152343,12,12,ClimaCore.Operators._serial_copyto! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Operators/finitedifference.jl:3144
0.150869,4,4,ClimaAtmos.set_covariance_cache! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameterized_tendencies/microphysics/cloud_fraction.jl:241
0.148793,25,15,LLVM.Interop.unsafe_load /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/LLVM/N6lMx/src/interop/pointer.jl:87
0.148719,217,97,Base.Broadcast.getindex broadcast.jl:607
0.146704,194,34,Base._join_preserve_annotations strings/io.jl:356
0.145833,53,53,NCDatasets.#defVar#30 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NCDatasets/xJGTj/src/cfvariable.jl:99
0.145174,127,127,ClimaCore.DataLayouts.vijh_params /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/broadcast.jl:152
0.145025,1033,325,Base.setproperty! Base.jl:50
0.142508,1,1,ClimaAtmos.trace_gas_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:425
0.141772,8,8,StaticArrays._broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/broadcast.jl:111
0.137348,73,24,ClimaCore.DataLayouts.view_struct /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:280
0.137103,603,559,ClimaCore.Utilities.Unrolled.unrolled_tuple_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/Utilities.jl:137
