# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c5_column_offset
# generated: 1789056225 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,min_e_src_sfc,min_e_src_new_strat,min_e_src_new_tropo,max_e_src_strat,max_e_src_tropo,max_e_src_rad,max_e_src_sfc,max_e_src_new_strat,max_e_src_new_tropo
39600.0,column,false,8925.453986855238,0.07113682758179118,0.03277617914937736,-2.254301394984845e-9,-1.9045228698201808e-28,-4.7051211418647654e-12,-1.4224585440073685e-13,64932.36833379899,141304.10738967426,4653.0404398398905,73599.47111591513,3994.963965220586,78252.47208930356
43200.0,column,false,9616.387622959868,0.0742713656064169,0.03273770686705602,-2.2362711530245356e-9,-5.271090270957452e-29,-4.41594877938324e-12,-1.336007025494054e-13,64852.782052169205,147582.4371030689,4926.013080709931,80125.29156102592,4306.701624337422,85051.26174633071
46800.0,column,false,10284.22261945346,0.07734566469147877,0.03270002281296696,-2.21885092837612e-9,-3.0281019725670276e-29,-4.151915464347822e-12,-1.2571319989831417e-13,64775.03331197803,153747.98687249725,5138.071727412333,86604.12627814728,4570.794408138977,91742.15173561974
50400.0,column,false,10921.7643269103,0.08035708083630494,0.032662571718120675,-2.203448118483243e-9,-3.0280984533255213e-29,-3.6129505854878955e-12,-1.0962950793621028e-13,64697.12445748698,159795.3151263099,5285.236818194497,93032.72959537995,4793.064071815178,98317.91682716271
54000.0,column,false,11554.964898747203,0.08335634535282814,0.03262509156206944,-2.187095075072781e-9,-3.028090496389407e-29,-2.924730265193328e-12,-8.91211149467944e-14,64619.09225819847,165824.8086439878,5468.791738182153,99408.99539852732,4980.227082039908,104877.73424186913
57600.0,column,false,12158.903390837222,0.08437993851603313,0.03259058089798034,-2.1722785586950763e-9,-3.0280796690856934e-29,-2.2363553394140843e-12,-6.863641021769165e-14,64547.165533582636,171762.8412471131,5615.236675201337,105731.4386459983,5140.60470203976,111346.6191637923
61200.0,column,false,12746.539523733838,0.08429779631046046,0.03255418726695268,-2.1572900702820506e-9,-3.0280628489953523e-29,-1.6455435414447845e-12,-5.107486729904357e-14,64471.93013620701,177611.93541893753,5727.587773059493,111998.2703604288,5276.159205549713,117725.79875875669
64800.0,column,false,13321.134618022465,0.08421141464127259,0.032517652684664555,-2.142493867263487e-9,-3.0280393445516607e-29,3.255258436928414e-6,2.5412570112731674e-8,64396.57889327286,183394.4571514585,5828.3030961912555,118208.43537546703,5390.360251877377,124036.6759140507
68400.0,column,false,13881.916621536264,0.084108507994901,0.032480974343080414,-2.1279690913296253e-9,-3.028008095055516e-29,7.672913966750534e-6,2.5839364983599263e-8,64321.11131273364,189106.84614670253,5914.098209326315,124360.86354497942,5486.444709978018,130274.89605046654
72000.0,column,false,14418.119597951067,0.0838675652741125,0.03244790445062301,-2.115927073743595e-9,-3.0279809033013164e-29,1.616592508310621e-5,2.6302737479042663e-8,64252.58973097925,194720.50651492464,5956.752033865415,130454.4258649558,5567.963525889572,136411.10910019753
75600.0,column,false,14934.210481709903,0.0834892388334848,0.03241945020203778,-2.1066025751008153e-9,-3.027963089671983e-29,3.325024891924858e-5,2.6838949553529797e-8,64192.79221237133,200242.89285777294,5966.066431863249,136486.42201409733,5636.925085599069,142452.41660041743
79200.0,column,false,15445.255905843107,0.08315968556656196,0.03239081824148522,-2.096928863787774e-9,-3.0279426784431805e-29,5.086286880477775e-5,2.7376298220367105e-8,64132.64817811871,205720.6784547556,5989.9875044076325,142455.41664490223,5694.089092946385,148445.32928125502
82800.0,column,false,15951.69030360585,0.082926264670191,0.032355545892689325,-2.0850948446252846e-9,-3.0279035405199545e-29,6.168200686710313e-5,2.787215883859333e-8,64059.58913034298,211141.8366544984,6015.863645639363,148361.4706351923,5738.789118962066,154377.25642102346
86400.0,column,false,16452.296832268432,0.08290495096200251,0.03232293035486049,-2.0727513835189436e-9,-3.0278535742729483e-29,7.307296963642311e-5,2.8396378265126176e-8,63991.64300962497,216562.8498224167,6099.740290366305,154204.7369978487,5775.988872121742,160304.39643906755
