time,form_a_max,form_a_relative,initial_min_lower,initial_min_upper,form_a_max_unrepaired,initial_lower,initial_upper,energy_change,records,form_b
1500.0,0.0,0.0,2.5239943540862276e-68,5.854140663677941e-79,0.0,3.823116411867436e8,2.5450518738212147e8,38310.32375764847,38310.18325805503,0.1404995934353792
1560.0,0.0,0.0,2.5466606355457963e-68,5.902484845340925e-79,0.0,3.823116411867433e8,2.5450518738212138e8,39808.88185286522,39808.741353153455,0.1404997117642779
1620.0,0.0,0.0,2.564204110689325e-68,5.939979999830975e-79,0.0,3.8231164118674296e8,2.5450518738212144e8,41304.79802775383,41304.65752816262,0.14049959120893618
1680.0,0.0,0.0,2.577762232512018e-68,5.969004111834792e-79,0.0,3.823116411867426e8,2.5450518738212147e8,42798.07362532616,42797.9331257276,0.14049959855765337
1740.0,0.0,0.0,2.5882427326188582e-68,5.991362183343711e-79,0.0,3.823116411867423e8,2.5450518738212138e8,44288.710554122925,44288.570054559954,0.14049956297094468
1800.0,0.0,0.0,2.5963374648842534e-68,6.008493763521078e-79,0.0,3.82311641186742e8,2.5450518738212138e8,45776.71155548096,45776.571055755696,0.14049972526117926
1860.0,0.0,0.0,2.6025828127784344e-68,6.021586306123343e-79,0.0,3.8231164118674165e8,2.5450518738212132e8,47262.07973861694,47261.93923911516,0.14049950178014114
1920.0,0.0,0.0,2.607397023402647e-68,6.031565948023741e-79,0.0,3.823116411867413e8,2.5450518738212138e8,48744.818392276764,48744.677892568485,0.1404997082790942
1980.0,0.0,0.0,2.6111053019144848e-68,6.039154164174243e-79,0.0,3.82311641186741e8,2.5450518738212144e8,50224.93090105057,50224.79040163002,0.14049942054407438
2040.0,0.0,0.0,2.6139584051503916e-68,6.044917939321805e-79,0.0,3.823116411867407e8,2.5450518738212147e8,51702.42065989971,51702.28016052708,0.1404993726318935
2100.0,0.0,0.0,2.616152236452789e-68,6.049290449947317e-79,0.0,3.8231164118674046e8,2.5450518738212138e8,53177.29115509987,53177.15065566063,0.1404994392360095
2160.0,0.0,0.0,2.617838805145314e-68,6.052600577516007e-79,0.0,3.823116411867401e8,2.5450518738212147e8,54649.545966267586,54649.405466561395,0.14049970619089436
2220.0,0.0,0.0,2.6191352475147615e-68,6.055097477696775e-79,0.0,3.8231164118673986e8,2.5450518738212144e8,56119.18884050846,56119.04834098396,0.14049952450295677
2280.0,0.0,0.0,2.620131752820384e-68,6.056973029410378e-79,0.0,3.823116411867396e8,2.5450518738212138e8,57586.22367429733,57586.08317457751,0.14049971982603893
2340.0,0.0,0.0,2.620897717171317e-68,6.058372753118765e-79,0.0,3.823116411867393e8,2.5450518738212144e8,59050.65449631214,59050.513996812646,0.14049949949549045
2400.0,0.0,0.0,2.62148662419821e-68,6.059407742719135e-79,0.0,3.82311641186739e8,2.5450518738212147e8,60512.48549747467,60512.34499780449,0.14049967018218013
2460.0,0.0,0.0,2.62193967535565e-68,6.060164576369501e-79,0.0,3.8231164118673885e8,2.5450518738212144e8,61971.720950841904,61971.580451444475,0.14049939742835704
2520.0,0.0,0.0,2.622288188481226e-68,6.060710487718936e-79,0.0,3.823116411867387e8,2.5450518738212132e8,63428.36521756649,63428.224718043006,0.1404995234843227
2580.0,0.0,0.0,2.622556276079157e-68,6.06109748332234e-79,0.0,3.8231164118673855e8,2.5450518738212144e8,64882.42273736,64882.28223776544,0.14049959456315264
2640.0,0.0,0.0,2.6227624974991635e-68,6.06136549339032e-79,0.0,3.823116411867384e8,2.5450518738212138e8,66333.89802408218,66333.7575246884,0.14049939379037824
2700.0,0.0,0.0,2.622921134144994e-68,6.061543003601389e-79,0.0,3.823116411867383e8,2.5450518738212138e8,67782.79571330547,67782.65521373617,0.1404995693010278
2760.0,0.0,0.0,2.623043173150844e-68,6.06165172399249e-79,0.0,3.823116411867382e8,2.5450518738212147e8,69229.12060439587,69228.98010459077,0.14049980510026217
2820.0,0.0,0.0,2.623137065745149e-68,6.061708977099194e-79,0.0,3.8231164118673813e8,2.5450518738212147e8,70672.87752175331,70672.73702188281,0.1404998704965692
2880.0,0.0,0.0,2.6232093313749706e-68,6.061729037221163e-79,0.0,3.8231164118673795e8,2.5450518738212147e8,72114.07127785683,72113.93077813603,0.14049972080101725
2940.0,0.0,0.0,2.6232650453671876e-68,6.061722870279197e-79,0.0,3.823116411867379e8,2.5450518738212153e8,73552.70668065548,73552.56618124804,0.14049940744007472
3000.0,0.0,0.0,2.62330798937243e-68,6.061698730394438e-79,0.0,3.8231164118673784e8,2.5450518738212147e8,74988.78856635094,74988.64806680953,0.1404995414050063
3060.0,0.0,0.0,2.623341081857293e-68,6.061662613238161e-79,0.0,3.823116411867378e8,2.5450518738212144e8,76422.3217946291,76422.18129504645,0.14049958264513407
3120.0,0.0,0.0,2.6233665769429103e-68,6.061618669736693e-79,0.0,3.823116411867378e8,2.5450518738212147e8,77853.31127917767,77853.17077975228,0.1404994253825862
3180.0,0.0,0.0,2.62338621326297e-68,6.061569980533814e-79,0.0,3.823116411867377e8,2.5450518738212153e8,79281.76195693016,79281.62145754947,0.14049938069365453
3240.0,0.0,0.0,2.623401322152906e-68,6.061518747548288e-79,0.0,3.8231164118673766e8,2.5450518738212147e8,80707.67880678177,80707.5383069743,0.14049980747222435
3300.0,0.0,0.0,2.6234129469754887e-68,6.061465991160187e-79,0.0,3.8231164118673766e8,2.5450518738212147e8,82131.06685078144,82130.9263509017,0.14049987973703537
3360.0,0.0,0.0,2.6234218918805496e-68,6.061412671932344e-79,0.0,3.8231164118673754e8,2.5450518738212147e8,83551.93108677864,83551.79058715756,0.1404996210767422
3420.0,0.0,0.0,2.623428775519904e-68,6.06135940056956e-79,0.0,3.823116411867375e8,2.5450518738212147e8,84970.27655315399,84970.13605349549,0.14049965850426815
3480.0,0.0,0.0,2.6234340737460586e-68,6.061306222526281e-79,0.0,3.823116411867375e8,2.5450518738212144e8,86386.10832607746,86385.96782648527,0.14049959219119046
3540.0,0.0,0.0,2.6234381525166475e-68,6.061253137648938e-79,0.0,3.823116411867374e8,2.5450518738212147e8,87799.43148195744,87799.29098225078,0.14049970665655565
3600.0,0.0,0.0,2.6234412953728324e-68,6.061200145781633e-79,0.0,3.8231164118673736e8,2.5450518738212147e8,89210.25108897686,89210.11058933756,0.14049963929574005
