# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: d1_column_1m_ice_no_vdiff
# generated: 1789126789 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_upper,min_e_src_lower,min_e_src_sfc,min_e_src_mp,min_e_src_new_upper,min_e_src_new_lower,max_e_src_upper,max_e_src_lower,max_e_src_sfc,max_e_src_mp,max_e_src_new_upper,max_e_src_new_lower
2100.0,column,false,1244.148743477781,6.049290449947317e-79,2.616152236452789e-68,0.0,0.0,0.0,0.0,103805.77304228854,90970.1064179942,936.6959773387703,0.0,0.0,936.6959773387703
2160.0,column,false,1244.2284450946026,6.052600577516007e-79,2.617838805145314e-68,0.0,0.0,0.0,0.0,103805.75899291405,90995.52321388245,962.9288545063964,0.0,0.0,962.9288545063964
2220.0,column,false,1244.258188622989,6.055097477696775e-79,2.6191352475147615e-68,0.0,0.0,0.0,0.0,103805.74670745996,91020.90414803568,989.125198004259,0.0,0.0,989.125198004259
2280.0,column,false,1244.2491019158042,6.056973029410378e-79,2.620131752820384e-68,0.0,0.0,0.0,0.0,103805.73601131476,91046.24858424043,1015.2842896921685,0.0,0.0,1015.2842896921685
2340.0,column,false,1244.2104418794916,6.058372753118765e-79,2.620897717171317e-68,0.0,0.0,0.0,0.0,103805.7267385126,91071.55505613549,1041.4045331040058,0.0,0.0,1041.4045331040058
2400.0,column,false,1244.1498949443194,6.059407742719135e-79,2.62148662419821e-68,0.0,0.0,0.0,0.0,103805.71868324449,91096.8231358707,1067.4854460306162,0.0,0.0,1067.4854460306162
2460.0,column,false,1244.0738250086433,6.060164576369501e-79,2.62193967535565e-68,0.0,0.0,0.0,0.0,103805.7115786378,91122.05240556016,1093.5265611542861,0.0,0.0,1093.5265611542861
2520.0,column,false,1243.9873199280992,6.060710487718936e-79,2.622288188481226e-68,0.0,0.0,0.0,0.0,103805.70533449428,91147.24246259383,1119.527431004889,0.0,0.0,1119.527431004889
2580.0,column,false,1243.8944836306619,6.06109748332234e-79,2.622556276079157e-68,0.0,0.0,0.0,0.0,103805.69986640704,91172.39292365509,1145.4876316443324,0.0,0.0,1145.4876316443324
2640.0,column,false,1243.7985906034737,6.06136549339032e-79,2.6227624974991635e-68,0.0,0.0,0.0,0.0,103805.69509479926,91197.50300087081,1171.4063118623328,0.0,0.0,1171.4063118623328
2700.0,column,false,1243.7022187981347,6.061543003601389e-79,2.622921134144994e-68,0.0,0.0,0.0,0.0,103805.69094543863,91222.57115740939,1197.28182814096,0.0,0.0,1197.28182814096
2760.0,column,false,1243.607364269934,6.06165172399249e-79,2.623043173150844e-68,0.0,0.0,0.0,0.0,103805.68734968595,91247.59737480737,1223.1141522612456,0.0,0.0,1223.1141522612456
2820.0,column,false,1243.5155397013295,6.061708977099194e-79,2.623137065745149e-68,0.0,0.0,0.0,0.0,103805.6842445469,91272.5819687351,1248.9036112459855,0.0,0.0,1248.9036112459855
2880.0,column,false,1243.4278817415761,6.061729037221163e-79,2.6232093313749706e-68,0.0,0.0,0.0,0.0,103805.68153779216,91297.52515262358,1274.6504239522292,0.0,0.0,1274.6504239522292
