# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: d1_column_1m_ice
# generated: 1789122227 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_upper,min_e_src_lower,min_e_src_sfc,min_e_src_mp,min_e_src_new_upper,min_e_src_new_lower,max_e_src_upper,max_e_src_lower,max_e_src_sfc,max_e_src_mp,max_e_src_new_upper,max_e_src_new_lower
780.0,column,false,1197.3954884201958,6.231572219088833e-33,2.0425838199414262e-42,0.0,0.0,0.0,0.0,103737.99894594899,90079.17879155971,226.352533865299,0.0,0.0,226.352533865299
840.0,column,false,1214.717127218959,2.847501876205739e-32,8.46919979052692e-42,0.0,0.0,0.0,0.0,103733.79781075506,90080.21236152133,238.48176889559542,0.0,0.0,238.48176889559542
900.0,column,false,1230.0309345787973,1.1571970804699333e-31,3.1710805520039417e-41,0.0,0.0,0.0,0.0,103729.6235426448,90081.21535328781,250.24024763746075,0.0,0.0,250.24024763746075
960.0,column,false,1243.5634330741013,4.248518252281972e-31,1.0875416422767141e-40,0.0,0.0,0.0,0.0,103725.48725073402,90082.19171368769,261.6592493934949,0.0,0.0,261.6592493934949
1020.0,column,false,1255.520109132165,1.4271973550835934e-30,3.4555917689647924e-40,0.0,0.0,0.0,0.0,103721.39644512553,90083.14417904535,272.76565931153607,0.0,0.0,272.76565931153607
1080.0,column,false,1266.088088999808,4.433019940145049e-30,1.0268080066246535e-39,0.0,0.0,0.0,0.0,103717.35596934523,90084.07502668418,283.583085479323,0.0,0.0,283.583085479323
1140.0,column,false,1275.436847434743,1.2843333777257038e-29,2.8753826299712538e-39,0.0,0.0,0.0,0.0,103713.36870749596,90084.98617563497,294.13238959543696,0.0,0.0,294.13238959543696
1200.0,column,false,1283.7188414063712,3.4963262556196147e-29,7.637286523589143e-39,0.0,0.0,0.0,0.0,103709.4359883796,90085.87926470084,304.4321130550691,0.0,0.0,304.4321130550691
1260.0,column,false,1291.0708597131888,8.999360401868326e-29,1.9344967307549163e-38,0.0,0.0,0.0,0.0,103705.55738381835,90086.75468948203,314.49801392324446,0.0,0.0,314.49801392324446
1320.0,column,false,1297.6140820139262,2.2018874191107364e-28,4.694390725739674e-38,0.0,0.0,0.0,0.0,103701.73273727896,90087.61361962224,324.344910815228,0.0,0.0,324.344910815228
