time,form_a_max,form_a_relative,initial_min_lower,initial_min_upper,form_a_max_unrepaired,initial_lower,initial_upper,energy_change,records,form_b
1080.0,0.0,0.0,1.0268080066246535e-39,4.433019940145049e-30,0.0,3.823116411870264e8,2.5450518738212144e8,28321.81906056404,28321.6785571276,0.14050343643975793
1140.0,0.0,0.0,2.8753826299712538e-39,1.2843333777257038e-29,0.0,3.823116411870259e8,2.5450518738212147e8,29902.113094449043,29901.972591081696,0.14050336734726443
1200.0,0.0,0.0,7.637286523589143e-39,3.4963262556196147e-29,0.0,3.823116411870255e8,2.5450518738212144e8,31482.91257095337,31482.772067611306,0.14050334206331172
1260.0,0.0,0.0,1.9344967307549163e-38,8.999360401868326e-29,0.0,3.8231164118702507e8,2.5450518738212153e8,33064.20148694515,33064.06098353902,0.1405034061317565
1320.0,0.0,0.0,4.694390725739674e-38,2.2018874191107364e-28,0.0,3.8231164118702465e8,2.5450518738212144e8,34645.96528291702,34645.82477962411,0.14050329291058006
1380.0,0.0,0.0,1.0957018234499055e-37,5.144783492624802e-28,0.0,3.823116411870243e8,2.5450518738212138e8,36228.19052064419,36228.05001729058,0.14050335360661848
1440.0,0.0,0.0,2.468293740925097e-37,1.1525830993644e-27,0.0,3.82311641187024e8,2.5450518738212153e8,37810.86473488808,37810.72423173261,0.14050315546774073
1500.0,0.0,0.0,5.382576018255945e-37,2.484492626254207e-27,0.0,3.823116411870237e8,2.5450518738212144e8,39393.976329922676,39393.835826568735,0.14050335394131253
1560.0,0.0,0.0,1.1392242799222038e-36,5.169014672716748e-27,0.0,3.8231164118702346e8,2.5450518738212147e8,40977.5144867897,40977.37398343073,0.1405033589762752
1620.0,0.0,0.0,2.3456077758393257e-36,1.040810856648094e-26,0.0,3.823116411870231e8,2.5450518738212144e8,42561.46908724308,42561.32858410927,0.1405031338072149
1680.0,0.0,0.0,4.707766881874795e-36,2.0332337680620877e-26,0.0,3.823116411870228e8,2.5450518738212147e8,44145.830646276474,44145.69014303965,0.14050323682749877
1740.0,0.0,0.0,9.227251757660868e-36,3.8618693975027904e-26,0.0,3.823116411870225e8,2.5450518738212144e8,45730.59028029442,45730.449777245776,0.14050304864213103
1800.0,0.0,0.0,1.7689774978982718e-35,7.145711729641487e-26,0.0,3.823116411870223e8,2.5450518738212147e8,47315.739719986916,47315.59921645151,0.14050353540369542
1860.0,0.0,0.0,3.3219352823989763e-35,1.2902998240127706e-25,0.0,3.823116411870221e8,2.5450518738212144e8,48901.2711493969,48901.13064607126,0.1405033256378374
1920.0,0.0,0.0,6.118508663122937e-35,2.2773028863654335e-25,0.0,3.823116411870218e8,2.5450518738212144e8,50487.17713749409,50487.0366340521,0.14050344198767561
1980.0,0.0,0.0,1.1066213910561883e-34,3.9342347567999197e-25,0.0,3.823116411870216e8,2.5450518738212144e8,52073.45061504841,52073.31011170766,0.14050334075000137
2040.0,0.0,0.0,1.9675174741570792e-34,6.661582519887625e-25,0.0,3.823116411870213e8,2.5450518738212144e8,53660.08485138416,53659.9443478839,0.14050350026082015
2100.0,0.0,0.0,3.442160969189134e-34,1.1068571541777044e-24,0.0,3.823116411870212e8,2.5450518738212144e8,55247.0734153986,55246.932912083146,0.14050331545149675
2160.0,0.0,0.0,5.930973658877206e-34,1.8066662869722458e-24,0.0,3.82311641187021e8,2.5450518738212132e8,56834.41018140316,56834.26967792657,0.14050347659213003
