# process_record_extrema.csv, from analysis/reduce_run.jl
# run: d1_column_1m_ice
# generated: 1789122229 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# min and max of every e_prc_<process>. A record is a signed running total of what a process applied, not a share of what is present, so it is not comparable with a tag value directly.
time,geometry,remapped,min_e_prc_surface_flux,min_e_prc_microphysics,min_e_prc_precipitation,max_e_prc_surface_flux,max_e_prc_microphysics,max_e_prc_precipitation
1500.0,column,false,0.0,0.0,-0.05265612619215885,677.1135442443838,0.0,0.1345533587027257
1560.0,column,false,0.0,0.0,-0.05265600537218682,704.342432440009,0.0,0.13455219151005582
1620.0,column,false,0.0,0.0,-0.052655894189963005,731.5773637798138,0.0,0.13455127651256635
1680.0,column,false,0.0,0.0,-0.05265579125493408,758.8182699179804,0.0,0.13455057427914857
1740.0,column,false,0.0,0.0,-0.052655695512279534,786.0650937951065,0.0,0.13454947664773487
1800.0,column,false,0.0,0.0,-0.05265560616856942,813.3177879707533,0.0,0.1345485323506268
1860.0,column,false,0.0,0.0,-0.052655522632791184,840.5763105426014,0.0,0.13454771382806247
1920.0,column,false,0.0,0.0,-0.05265544443439624,867.8406221487553,0.0,0.13454699893788308
1980.0,column,false,0.0,0.0,-0.05265537115225573,895.1106847843403,0.0,0.1345463690070725
2040.0,column,false,0.0,0.0,-0.05265530237094621,922.3864608402514,0.0,0.13454579901295416
2100.0,column,false,0.0,0.0,-0.052655237622132645,949.6679119121308,0.0,0.13454528384660838
2160.0,column,false,0.0,0.0,-0.05265517641879294,976.9549988349535,0.0,0.13454481277984315
2220.0,column,false,0.0,0.0,-0.05265511824337959,1004.2476814557477,0.0,0.13454437660604895
2280.0,column,false,0.0,0.0,-0.05265506257532009,1031.5459184356173,0.0,0.1345439675902092
2340.0,column,false,0.0,0.0,-0.05265500891610937,1058.8496670900977,0.0,0.1345435792936651
2400.0,column,false,0.0,0.0,-0.052654956800124594,1086.1588832896055,0.0,0.13454308616058402
2460.0,column,false,0.0,0.0,-0.05265490584705149,1113.473521616638,0.0,0.13454331590780647
2520.0,column,false,0.0,0.0,-0.052654855724974914,1140.793535603694,0.0,0.1345435498814917
2580.0,column,false,0.0,0.0,-0.052654806160038016,1168.118877372685,0.0,0.1345437881130273
2640.0,column,false,0.0,0.0,-0.05265475693915541,1195.4494980363538,0.0,0.13454402877379126
2700.0,column,false,0.0,0.0,-0.0526547079013458,1222.7853477424655,0.0,0.1345442700331138
2760.0,column,false,0.0,0.0,-0.052654658926585766,1250.1263759132923,0.0,0.1345445103876955
2820.0,column,false,0.0,0.0,-0.05265460992718441,1277.4725314345067,0.0,0.1345447486787699
2880.0,column,false,0.0,0.0,-0.05265456084117459,1304.8237628662055,0.0,0.13454471339998822
2940.0,column,false,0.0,0.0,-0.05265451162520715,1332.1800184995482,0.0,0.134544373713848
3000.0,column,false,0.0,0.0,-0.05265446225010232,1359.5412468026223,0.0,0.13454403193883616
3060.0,column,false,0.0,0.0,-0.052654412698550694,1386.9073963255466,0.0,0.13454368494798954
3120.0,column,false,0.0,0.0,-0.05265436296159406,1414.278415766799,0.0,0.1345433322317702
3180.0,column,false,0.0,0.0,-0.05265431302726775,1441.6542541100068,0.0,0.13454297276030763
3240.0,column,false,0.0,0.0,-0.05265426291189849,1469.0348607976591,0.0,0.13454259960682594
3300.0,column,false,0.0,0.0,-0.0526542126145692,1496.420185863685,0.0,0.13454222110367814
3360.0,column,false,0.0,0.0,-0.05265416214004973,1523.8101798131152,0.0,0.13454183811666462
3420.0,column,false,0.0,0.0,-0.05265411149620421,1551.2047939097813,0.0,0.1345414510305253
3480.0,column,false,0.0,0.0,-0.05265406069337432,1578.6039801377167,0.0,0.13454116072169464
3540.0,column,false,0.0,0.0,-0.05265400975527464,1606.007691104351,0.0,0.13454117642547664
3600.0,column,false,0.0,0.0,-0.05265395867400096,1633.4158805108282,0.0,0.13454199377925616
