workflow	version	group	testset	seconds	compile_pct
ci	1.11	parent_budget	Parent-budget explicit attribution	154.6	99.45
ci	1.11	parent_budget	Parent-budget transfers	523.1	99.89
ci	1.11	parent_budget	Parent-budget restarts	143.0	99.53
ci	1.11	parent_budget	Parent-budget report	558.8	94.7
ci	1.11	diagnostics	Diagnostics unit tests	1387.8	99.53
ci	1.11	diagnostics	DiagnosticsConfig	0.3	86.55
ci	1.11	diagnostics	COSP subcolumn tests	244.6	92.9
ci	1.11	diagnostics	COSP CloudSat optics tests	23.4	71.19
ci	1.11	diagnostics	COSP CloudSat reflectivity tests	7.6	78.13
ci	1.11	diagnostics	COSP CloudSat cloud fraction tests	6.1	42.74
ci	1.11	diagnostics	COSP CloudSat CFAD tests	5.6	89.69
ci	1.11	dynamics	Prognostic equations	8.4	38.66
ci	1.11	dynamics	Advection operators	163.6	99.87
ci	1.11	dynamics	Post-Newton implicit-advection correction	178.3	99.9
ci	1.11	dynamics	Vertical diffusion tendency	51.2	99.19
ci	1.11	dynamics	Eddy diffusion closures	13.5	93.67
ci	1.11	dynamics_tracers	Tracer/mass transport consistency	1218.6	99.65
ci	1.11	dynamics_tracers	Vertical water borrowing limiter	145.7	99.82
ci	1.11	dynamics_tracers	Enforce physical constraints	290.9	99.8
ci	1.11	dynamics_edmfx	EDMFX SGS diffusive flux	691.1	99.25
ci	1.11	dynamics_edmfx	EDMFX horizontal diffusive flux	1058.9	99.91
ci	1.11	tagging_energy	Tagged tracers integration	1318.3	97.61
ci	1.11	tagging_water	Tagged water integration	2493.7	98.91
ci	1.11	tagging_source	Energy source tags integration	1035.7	99.17
ci	1.11	tagging_record	Process record integration	462.8	98.74
ci	1.11	parameterizations	Sponge layers	35.8	88.82
ci	1.11	parameterizations	Microphysics tendency tests	269.1	99.88
ci	1.11	parameterizations	Microphysics wrappers tests	3.0	95.56
ci	1.11	parameterizations	SGS quadrature tests	11.3	93.39
ci	1.11	parameterizations	SGS moments tests	2.3	96.38
ci	1.11	parameterizations	Tendency limiters tests	0.1	34.43
ci	1.11	parameterizations	Moisture fixers tests	0.6	96.15
ci	1.11	parameterizations	Cloud fraction tests	0.6	83.78
ci	1.11	parameterizations	SGS saturation tests	1.9	96.9
ci	1.11	parameterizations	BMT integration tests	3.9	96.14
ci	1.11	parameterizations	Allocation tests	2.3	89.43
ci	1.11	parameterizations	Chemistry tendency tests	6.8	9.63
ci	1.11	parameterizations	Passive stratospheric tracers	188.8	96.89
ci	1.11	parameterizations	Beres NOGW unit tests	13.2	97.45
ci	1.11	restarts	Restarts	1155.2	84.71
ci	1.11	restarts	Reproducibility infra	39.7	97.09
ci	1.11	restarts	Init with file	145.0	90.56
ci	1.11	era5	ERA5 forcing	78.7	93.08
ci	1.11	era5	Column datasets	21.0	95.83
