# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c6_sphere_first_order
# generated: 1789059962 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_new_tropics,max_e_src_new_extratropics
36000.0,sphere,true,2802.328193818609,-10900.336255405364,-7383.325442843066,-95.24124911758386,-27.028070662462515,-40.217228080502636,-121.63884487183697,222252.11793904414,226201.4544118489,9414.485590698061,2301.0379134989385,944.2614738807691,11423.287712101503
39600.0,sphere,true,3049.2644739461402,-10572.960149813729,-6913.464906902067,-106.02538729066552,-29.846166596894058,-44.63414938204122,-135.13266854614827,221861.47950352868,225934.33909725028,10204.427973630422,2443.0782384732697,1037.6384617468204,12332.965366782315
43200.0,sphere,true,3282.256581897529,-10197.481839719647,-6452.779172960743,-116.49361823603482,-31.470775325903105,-48.76057439715989,-147.32737632238133,221476.2397955464,225599.029647156,10970.347395448434,2571.111423264552,1130.5983603870272,13205.282905365708
46800.0,sphere,true,3494.7088422412153,-9791.40899186707,-5993.487070812811,-126.48943364958696,-29.389633161016945,-52.554839522426214,-155.58689248541415,221085.2106843349,225225.44419323636,11712.940049566965,2685.7271122760535,1223.0895098172957,14041.165761059507
50400.0,sphere,true,3689.81197538745,-9370.47177990825,-5526.313766908943,-135.91353879715246,-22.42034931965989,-56.01970794406426,-157.55366979013112,220678.53230098885,224834.5633090597,12432.370420893421,2787.4576506073704,1315.0375230972054,14841.382349599251
54000.0,sphere,true,3878.759856764396,-8950.063038335878,-5488.139883978879,-144.708915960529,-8.637308168828186,-59.21256629385377,-151.86735692595545,220703.3126149506,224445.52521719027,13129.588468321466,2876.849997393429,1406.3584447009446,15607.170162609955
57600.0,sphere,true,4067.070263328569,-8543.542261723893,-5726.083914373592,-153.58881057210996,-9.51011489574499,-62.5759711322474,-138.04810337270663,221023.5197980833,224073.70974011545,13805.515832853875,2954.4952818915694,1497.0019616975346,16340.469653388469
61200.0,sphere,true,4256.436149804649,-8160.91830881587,-5961.059694406152,-162.19625805107563,-9.51235340643764,-65.90801644231352,-116.48119176220968,221332.86888053844,223727.9026223172,14461.404533802674,3021.540426063998,1586.9803466698831,17043.120764524472
64800.0,sphere,true,4440.31455332796,-7807.095755697817,-6178.177538780523,-170.20998503398891,-10.44311265275917,-69.2788282517511,-87.96959279544787,221632.65185350974,223414.5794053151,15098.149996072636,3078.0363464235106,1676.3924033404044,17716.380551151902
68400.0,sphere,true,4617.092857595329,-7478.434914663331,-6430.38918258947,-177.6134469387533,-11.386185082458741,-72.66889318770667,-53.625939038383564,221941.69364270495,223141.0737690444,15716.616016959051,3124.4240073517954,1765.426870843372,18361.283410412914
72000.0,sphere,true,4778.100031932321,-7165.582745577633,-6661.669730766777,-184.44637478767987,-12.337952890581285,-76.04485936607577,-50.10257150506338,222211.22953842883,222905.4884077513,16317.214369994681,3161.0484022191204,1854.1239938077113,18978.577271064263
75600.0,sphere,true,4933.003576677176,-6946.50130294247,-6865.207435777347,-190.80151404954543,-13.296213565267308,-79.39387634796826,-50.69623730790465,222442.05289951724,223194.07396569534,16900.507885199495,3188.248788992991,1942.5919256581087,19569.075951031813
79200.0,sphere,true,5075.433868597509,-7183.30370364352,-7043.028008154611,-196.79404002423894,-14.261957640687596,-82.61184997933829,-51.30570191116349,222640.092017898,223507.79042907566,17464.08327619832,3206.3303733571693,2031.0506166517011,20134.169942588265
82800.0,sphere,true,5202.306698488974,-7411.082308992516,-7197.487201844774,-202.51803637185003,-15.237174291022606,-85.62238816572196,-51.998417093649,222809.44033728936,223810.48208066684,18005.45413952489,3215.6316744656847,2119.486546746293,20676.544183589758
86400.0,sphere,true,5321.192030672508,-7635.001037529391,-7331.978793031342,-208.0380058145646,-16.223304564236688,-88.33659047579421,-52.85171248843315,222960.56363491464,224107.89885440847,18524.918899557582,3217.3551506158324,2207.845579475519,21198.119118211198
