# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c6_sphere_wide_mask
# generated: 1789393804 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_new_tropics,max_e_src_new_extratropics
36000.0,sphere,true,2783.5191062950053,0.019849804280854557,3457.180149965443,0.0,0.0,0.0,0.0,207589.18174229958,221376.1649825186,9414.485945388704,2301.066078002327,882.8211722185308,11423.289556368802
39600.0,sphere,true,3030.4562222902077,0.019333334098576637,3442.300804023468,0.0,0.0,0.0,0.0,207695.7743224245,221394.629530193,10204.428451242844,2443.1043974352497,970.5695630337065,12332.965191115258
43200.0,sphere,true,3263.449208883691,0.01861554106053451,3427.3229139773903,0.0,0.0,0.0,0.0,207810.25715140597,221401.5045055855,10970.34802075641,2571.1350571254425,1058.186600952844,13205.28079876181
46800.0,sphere,true,3475.902391847448,0.01773331254644808,3412.24157003311,0.0,0.0,0.0,0.0,207927.05331096367,221399.99371958312,11712.940833419641,2685.7474900558186,1145.6196461500595,14041.161815097583
50400.0,sphere,true,3671.0064299170062,0.016721427884833617,3397.1478148741103,0.0,0.0,0.0,0.0,208041.71853294203,221403.76439422477,12432.37134629071,2787.474041673194,1232.8114731788908,14841.376718793303
54000.0,sphere,true,3859.9552868590636,0.015614433448391687,3382.046165144958,0.0,0.0,0.0,0.0,208154.21207789757,221421.81989771154,13129.58950525922,2876.8618980037945,1319.7387610895912,15607.16305070126
57600.0,sphere,true,4048.260551405867,0.014448609002771975,3366.9549714485115,0.0,0.0,0.0,0.0,208264.8490931487,221441.41088512453,13805.51690264248,2954.508073485459,1406.3841524172765,16340.461038992562
61200.0,sphere,true,4237.627629224546,0.013259510462655888,3351.73940976823,0.0,0.0,0.0,0.0,208374.88218007365,221460.73491916756,14461.40553020909,3021.5516128240242,1492.7524075140877,17043.110785001485
64800.0,sphere,true,4421.507195486454,0.012083374169105657,3336.387134205922,0.0,0.0,0.0,0.0,208484.99427808815,221479.79283089621,15098.150784264606,3078.046205489334,1578.8579899062784,17716.369365408646
68400.0,sphere,true,4598.28665840505,0.010953203929149493,3320.9308238063277,0.0,0.0,0.0,0.0,208595.72424461046,221493.0679168342,15716.61644010704,3124.432907874924,1664.7170241004712,18361.271198571467
72000.0,sphere,true,4759.295008859932,0.009898742554848931,3305.448040772438,0.0,0.0,0.0,0.0,208706.41779613384,221496.73828301462,16317.214251850903,3161.0568107094214,1750.3279939322285,18978.564229206593
75600.0,sphere,true,4914.199751656997,0.008949138768028378,3289.9517738187924,0.0,0.0,0.0,0.0,208806.04539722798,221509.4343355836,16900.507040712222,3188.2572615839163,1835.550702907585,19569.062288810834
79200.0,sphere,true,5056.631256951849,0.008125222623313257,3274.431703851091,0.0,0.0,0.0,0.0,208887.6793522376,221526.1712883477,17464.08152142657,3206.3395344346036,1920.3037491474029,20134.155871644325
82800.0,sphere,true,5183.505339185809,0.007438573194355486,3258.809001234872,0.0,0.0,0.0,0.0,208954.1999733205,221544.25882573795,18005.45130397714,3215.6421886422313,2004.6570312592444,20676.544825666482
86400.0,sphere,true,5302.391916920416,0.006899854078673299,3243.1143495766996,-2.7560594843430373e-55,0.0,0.0,0.0,209010.02146137937,221562.4875696593,18524.91484025459,3217.36769210756,2088.7122201688253,21198.11814419565
