exclusive_s,inferences,specializations,method
0.456972,5312,5309,UnrolledUtilities.unrolled_filter /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:401
0.449727,94,92,ClimaCore.MatrixFields.map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:80
0.427105,102,96,UnrolledUtilities._unrolled_foreach /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:51
0.425020,57,23,ClimaCore.DataLayouts.get_struct /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:263
0.418820,3,3,ClimaAtmos.set_microphysics_tendency_cache! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/cache/microphysics_cache.jl:953
0.417798,4911,2352,Base.Broadcast.Broadcasted broadcast.jl:176
0.409627,1649,1585,ClimaCore.Utilities.Unrolled.unrolled_tuple_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/Utilities.jl:137
0.400056,329,323,ClimaCore.MatrixFields.getindex /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_dict.jl:137
0.399436,5751,5309,UnrolledUtilities.unrolled_filter_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:403
0.394711,2489,2489,ClimaCore.MatrixFields.#93 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:372
0.394512,141,79,ClimaParams.get_parameter_values /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaParams/9BD0g/src/ClimaParams.jl:257
0.388794,9895,6676,Base.Generator generator.jl:33
0.379171,857,660,Base.iterate generator.jl:43
0.357906,4,4,ClimaAtmos.set_sgs_moments_and_cloud_fraction! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.348444,40,21,ClimaCore.DataLayouts.set_struct! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/struct_storage.jl:207
0.342756,3302,1754,Base.tail essentials.jl:514
0.342431,4775,4774,UnrolledUtilities.#unrolled_mapreduce#36 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:179
0.338254,443,443,UnrolledUtilities._unrolled_any /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:15
0.336622,4775,4774,UnrolledUtilities.unrolled_mapreduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:179
0.327358,730,262,ClimaCore.Fields.broadcasted /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:81
0.323410,282,224,Base.collect array.jl:784
0.321352,195,176,Base.afoldl operators.jl:549
0.305004,4,4,Dates.parse /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/parse.jl:281
0.301577,4,4,ClimaAtmos.set_prognostic_edmf_precomputed_quantities_environment! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.295616,3223,3190,UnrolledUtilities.unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:176
