inclusive_s,method,signature
0.006097,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{BF1995_mass_exponent_beta::Float64; BF1995_mass_coeff_alpha::Float64}}}}
0.006088,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{Frostenberg2023_standard_deviation::Float64; Frostenberg2023_a_coefficient::Float64; temperature_water_freeze::Float64; Frostenberg2023_b_coefficient::Float64}}}}
0.006079,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{gravitational_acceleration::Float64; kinematic_viscosity_of_air::Float64; density_liquid_water::Float64}}}}
0.006077,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{sublimation_deposition_timescale::Float64}}}}
0.006076,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{cloud_liquid_water_specific_humidity_autoconversion_threshold::Float64; threshold_smooth_transition_steepness::Float64; rain_autoconversion_timescale::Float64}}}}
0.006064,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{default_momentum_roughness_length::Float64; von_karman_constant::Float64; default_scalar_roughness_length::Float64}}}}
0.006058,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{snow_flake_length_scale::Float64; snow_cross_section_size_relation_coefficient::Float64; snow_cross_section_size_relation_coefficient_dela::Float64; snow_cross_section_size_relation_coefficient_chia::Float64}}}}
0.006038,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{rain_snow_collision_efficiency::Float64; rain_snow_velocity_dispersion_coefficient::Float64}}}}
0.006038,Base.collect array.jl:784,Tuple{typeof(collect); Base.Generator{Dict{Symbol; Symbol}; ClimaParams.var"#10#11"{@NamedTuple{Reisner_et_al_A_parameter::Float64; Reisner_et_al_B_parameter::Float64}}}}
0.006025,ClimaAtmos.#any_reltype#1 /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/utils/gpu_compat.jl:24,Tuple{ClimaAtmos.var"##any_reltype#1"; Bool; typeof(ClimaAtmos.any_reltype); Bool; @NamedTuple{prof_ug::Returns{Float64}; prof_vg::Returns{Float64}; coriolis_param::Float64}; String; Tuple{DataType; DataType}; Tuple{String; Symbol; String; Symbol}}
