exclusive_s,inferences,specializations,method
0.140561,35,35,ClimaCore.DataLayouts.foreach_pool_slice /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:221
0.139295,1412,838,Base.tail essentials.jl:514
0.138307,98,98,ClimaCore.DataLayouts.vijh_params /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/broadcast.jl:152
0.137270,1,1,ClimaAtmos.trace_gas_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:425
0.136848,1686,1273,UnrolledUtilities.unrolled_map_into /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:155
0.133380,604,604,UnrolledUtilities.maybe_ambiguous_promoted_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:123
0.133177,8,8,StaticArrays._broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/broadcast.jl:111
0.132790,809,809,Base._eq tuple.jl:550
0.132305,506,506,UnrolledUtilities.unrolled_append /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:120
0.131637,266,116,Base.Broadcast.materialize broadcast.jl:872
0.126033,570,526,ClimaCore.Utilities.Unrolled.unrolled_tuple_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/Utilities.jl:137
0.125823,439,439,UnrolledUtilities.unrolled_flatten /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:426
0.123630,1295,1290,Base.Iterators.map iterators.jl:62
0.117393,18,15,ClimaCore.Geometry.* /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Geometry/tensors.jl:549
0.117301,844,844,Base.argtail essentials.jl:496
0.116423,188,86,Base.Broadcast.getindex broadcast.jl:607
0.115598,33,33,NCDatasets.#NCDataset#12 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NCDatasets/xJGTj/src/dataset.jl:249
0.114269,3,3,ClimaAtmos.Internals.ParentBudget.adapter_packet_layout /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parent_budget/adapter.jl:717
0.112792,601,42,Base.invokelatest essentials.jl:1052
0.111868,35,27,Base.map abstractarray.jl:3371
0.109324,265,265,UnrolledUtilities._unrolled_reduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:66
0.106527,2,1,Dates.tryparsenext_internal /dss/dsshome1/0D/di38kez/.julia/juliaup/julia-1.11.9+0.x64.linux.gnu/share/julia/stdlib/v1.11/Dates/src/parse.jl:125
0.103665,166,166,Base._iterator_upper_bound array.jl:743
0.103623,991,502,UnrolledUtilities.#25 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/UnrolledUtilities.jl:115
0.101376,59,59,ClimaCore.Utilities._nested_broadcast /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Utilities/auto_broadcaster.jl:212
0.099745,57,57,ClimaCore.MatrixFields.map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:80
0.099535,17,16,Base.filter array.jl:2872
0.099494,36,36,ClimaCore.MatrixFields.intersect /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/MatrixFields/field_name_set.jl:106
0.097571,9,8,Base.Broadcast.copyto! broadcast.jl:928
0.097059,285,283,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:5
0.096084,33,23,StaticArrays._mapreduce /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/mapreduce.jl:153
0.094746,128,30,Base._join_preserve_annotations strings/io.jl:356
0.094608,192,141,Base.Iterators.pairs iterators.jl:279
0.094467,4,4,ClimaAtmos.set_covariance_cache_and_cloud_fraction! /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameterized_tendencies/microphysics/cloud_fraction.jl:33
0.094375,535,535,UnrolledUtilities.promoted_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:133
0.094002,61,31,ClimaCore.DataLayouts.#89 /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/loops.jl:489
0.093850,2,2,ClimaAtmos.BeresSourceParameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:698
0.093117,75,40,Base.setindex tuple.jl:55
0.092527,1,1,ClimaAtmos.prescribed_aerosol_parameters /dss/dsshome1/0D/di38kez/git/Clima/ClimaAtmosResiDyn-p4/src/parameters/create_parameters.jl:398
0.088857,10,9,Base.sizehint! array.jl:1497
0.087926,4,4,ClimaAtmos.compute_gm_mixing_length /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/NVTX/IqPon/src/macro.jl:189
0.086988,1451,1451,UnrolledUtilities.inferred_output_type /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/unrollable_iterator_interface.jl:127
0.086903,140,140,Base.rewrap_unionall essentials.jl:525
0.086851,16,10,ClimaCore.Fields.copy /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/Fields/broadcast.jl:91
0.086386,124,80,ClimaCore.DataLayouts.property_view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/DataLayouts.jl:306
0.085317,296,253,Base.collect_to_with_first! array.jl:824
0.084919,92,92,Base._compute_eltype tuple.jl:272
0.083666,4,2,StaticArrays.\ /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/solve.jl:1
0.082835,293,293,UnrolledUtilities._unrolled_map /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/UnrolledUtilities/XxMVJ/src/manually_unrolled_functions.jl:2
0.082264,2,2,StaticArrays.setindex! /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/StaticArrays/k7bbZ/src/indexing.jl:307
0.081313,115,39,ClimaCore.DataLayouts.view /dss/dsstbyfs02/scratch/0D/di38kez/julia-depots/terrabyte-cpu/packages/ClimaCore/CYDDz/src/DataLayouts/indexing.jl:170
