t_seconds,error_n1_ρq_tot,increment_ρq_tot,error_n1_ρq_tag_pbl,increment_ρq_tag_pbl,error_n1_ρq_tag_free,increment_ρq_tag_free,error_n1_ρq_tag_evap,increment_ρq_tag_evap,error_n2_ρq_tot,increment_ρq_tot,error_n2_ρq_tag_pbl,increment_ρq_tag_pbl,error_n2_ρq_tag_free,increment_ρq_tag_free,error_n2_ρq_tag_evap,increment_ρq_tag_evap
4320.0,4.246839442589773e-9,3.295091570537571e-5,4.2394333630060916e-9,3.294546575293036e-5,7.783121738661672e-12,2.657014434031584e-6,2.342931013620821e-11,3.2949531546408904e-5,2.3047290355599944e-12,3.295091570537571e-5,2.305238140321522e-12,3.294546575293036e-5,8.051682644269177e-16,2.657014434031584e-6,8.745694152450018e-14,3.2949531546408904e-5
4440.0,4.31956787303566e-9,3.4126969146751686e-5,4.3143126354798644e-9,3.412167130490784e-5,8.896798246076477e-12,2.79437051694609e-6,5.825241880473333e-11,3.4125882253684486e-5,9.252776850812691e-13,3.4126969146751686e-5,9.240371885335785e-13,3.412167130490784e-5,3.840589128520765e-15,2.79437051694609e-6,9.355093638299142e-15,3.4125882253684486e-5
4560.0,4.684903194345606e-9,3.530808410468514e-5,4.680132930210729e-9,3.53028627035977e-5,9.189111941234918e-12,2.935084148619801e-6,8.446609977729406e-11,3.5307219422966815e-5,1.2307927330415621e-12,3.530808410468514e-5,1.2307567451199584e-12,3.53028627035977e-5,3.4062514913550857e-15,2.935084148619801e-6,4.6298435536708604e-14,3.5307219422966815e-5
4680.0,5.206217529128744e-9,3.649382172803176e-5,5.200987812284682e-9,3.648864667227991e-5,9.807398466426571e-12,3.077621275103275e-6,9.893627039076138e-11,3.649314972901405e-5,1.4785512215015728e-12,3.649382172803176e-5,1.4784029158505194e-12,3.648864667227991e-5,3.321212718642984e-15,3.077621275103275e-6,5.297489826599485e-14,3.649314972901405e-5
4800.0,5.803343401463934e-9,3.768380732202831e-5,5.797515047027485e-9,3.7678638236867166e-5,1.0551264195345046e-11,3.221714075324093e-6,1.1346603857088631e-10,3.768328815022486e-5,1.7362094825479734e-12,3.768380732202831e-5,1.7351851097345096e-12,3.7678638236867166e-5,4.103209205657678e-15,3.221714075324093e-6,2.979260615476181e-14,3.768328815022486e-5
4920.0,6.452384574158769e-9,3.8877646643766285e-5,6.445518109937195e-9,3.8872460163278314e-5,1.0873822886633734e-11,3.3677392223338777e-6,1.234677026227729e-10,3.88772574059639e-5,1.44824987287815e-12,3.8877646643766285e-5,1.4470142996440187e-12,3.8872460163278314e-5,4.15869682525487e-15,3.3677392223338777e-6,9.230147004575211e-15,3.88772574059639e-5
5040.0,7.2520997439320765e-9,4.007495619790696e-5,7.24240302832425e-9,4.00697424518093e-5,1.0901597849536507e-11,3.5167500666701977e-6,1.0129884247261998e-10,4.0074687450876426e-5,3.3031198576145276e-12,4.007495619790696e-5,3.303771288925186e-12,4.00697424518093e-5,2.034154810908004e-15,3.5167500666701977e-6,1.7473350739616934e-13,4.0074687450876426e-5
5160.0,8.577985539302368e-9,4.12753774345762e-5,8.566634023601412e-9,4.1270121881906595e-5,1.5908353694385165e-11,3.66899763835437e-6,1.7816607130744487e-11,4.127521501956981e-5,1.9649006882162674e-11,4.12753774345762e-5,1.9646393384505356e-11,4.1270121881906595e-5,6.8472682324203626e-15,3.66899763835437e-6,7.406423382584314e-13,4.127521501956981e-5
5280.0,1.1062298759696617e-8,4.247856095752679e-5,1.104794433736981e-8,4.2473241601507245e-5,2.7792581855696035e-11,3.825015077666399e-6,1.5491551411534088e-10,4.2478483215944135e-5,5.09700618989198e-11,4.247856095752679e-5,5.0957105250007295e-11,4.2473241601507245e-5,2.6923865335571766e-14,3.825015077666399e-6,1.710039628333489e-12,4.2478483215944135e-5
5400.0,1.4877129217075168e-8,4.3684151447032016e-5,1.4854306702706752e-8,4.3678750756138766e-5,4.5000312132353834e-11,3.984112864667317e-6,4.913023150947572e-10,4.368414114221645e-5,9.237019506101109e-11,4.3684151447032016e-5,9.233861010879542e-11,4.3678750756138766e-5,5.896813245226626e-14,3.984112864667317e-6,2.827783829630396e-12,4.368414114221645e-5
