t,signed,gross,form_b,form_a_max,form_a_z,form_a_unrepaired,ledger_max
68400.0,10.61063300675868,195.21640220682912,-5.443424563622102,3.7063097906717854e-7,125.0,1.278343311477268e-7,4.3368766554129605e-7
69000.0,10.452635831266932,194.81916455826104,-5.533658630447462,3.700934242256499e-7,125.0,1.2848562419389584e-7,4.337031049316081e-7
69600.0,10.605528164722786,194.37232024354805,-5.424121703254059,3.695554199204729e-7,125.0,1.2913282578076784e-7,4.3371983136770644e-7
70200.0,11.713836037618906,193.78909764234453,-4.702906934777275,3.690124536775549e-7,125.0,1.2979297776644533e-7,4.3373963199969656e-7
70800.0,14.381277553383258,193.3178606484772,-2.9817418849561363,3.6847007655822513e-7,125.0,1.3047669687532786e-7,4.3376373448806e-7
71400.0,14.331936974715408,193.61194331172337,-2.9785100598819554,3.679252592517004e-7,125.0,1.311861937066006e-7,4.337939184350564e-7
72000.0,6.857287655207378,225.74972808242336,-7.681118650478311,3.673856338385707e-7,125.0,1.3185861507185044e-7,4.3382142777704695e-7
72600.0,-17.094502748371706,242.3187118946621,-23.037955228239298,3.668823113761327e-7,125.0,1.321399667803308e-7,4.3379436697536323e-7
73200.0,12.3914766599947,191.21479098559658,-4.293045492027886,3.6637347805677544e-7,125.0,1.3262121224518187e-7,4.337803381447359e-7
73800.0,11.801603700136734,190.16755249057985,-4.612489071325399,3.6586199704020967e-7,125.0,1.3323996301341154e-7,4.337823404521935e-7
74400.0,11.268493239739769,189.8763392813552,-4.900565806776285,3.653604186032128e-7,125.0,1.3384767109225215e-7,4.337876060109205e-7
75000.0,10.818125507525837,189.68093535434966,-5.139892442733981,3.648488060962784e-7,125.0,1.3444924871143127e-7,4.3379618761116044e-7
75600.0,10.439581240901507,189.5717241040226,-5.336744569125585,3.6434144417276004e-7,125.0,1.350451180271222e-7,4.3380716282601787e-7
76200.0,10.127099459117456,189.5358525293489,-5.49414597498253,3.6382271389516626e-7,125.0,1.356333398991515e-7,4.338198900343364e-7
76800.0,9.873662564052491,189.56163734591217,-5.615995237720199,3.633035643040921e-7,125.0,1.362147521516799e-7,4.3383395352710845e-7
77400.0,9.645645876564904,189.6215265124804,-5.723335052491166,3.627773369979166e-7,125.0,1.3679067935982041e-7,4.338490577631946e-7
78000.0,9.45261189038859,189.71414713584093,-5.80971608904656,3.622743124701602e-7,125.0,1.3736176633078435e-7,4.3386491569607694e-7
78600.0,9.296959556637526,189.84042024595863,-5.87315584323369,3.617499260612437e-7,125.0,1.3792707173960128e-7,4.3388141406515463e-7
79200.0,9.177209446953514,190.00082394335445,-5.914262443082407,3.6123350914673896e-7,125.0,1.3848716461650295e-7,4.338984803970501e-7
79800.0,9.092966691314235,190.15922776736272,-5.932964357547462,3.607031701041699e-7,125.0,1.3904372776115484e-7,4.3391607795089615e-7
80400.0,8.707750308982003,190.04777081054652,-6.146404730738141,3.6018563911044665e-7,125.0,1.3959476118584864e-7,4.339337204641171e-7
81000.0,8.338883076188463,190.0211272572654,-6.35041296039708,3.596659783996708e-7,125.0,1.40133949850595e-7,4.3395066470433883e-7
81600.0,8.67230102505622,190.90531890085637,-6.099057243671268,3.591407414535805e-7,125.0,1.4067167270922985e-7,4.3396820885956435e-7
82200.0,9.8373576088902,192.3168157511414,-5.3024650937877595,3.586247055800211e-7,125.0,1.4122205277983472e-7,4.3398872940192e-7
82800.0,11.618652970605778,194.98993141344255,-4.098569744033739,3.5809526812499654e-7,125.0,1.4179622148497312e-7,4.340140854862646e-7
83400.0,13.134373242475599,195.01521243068797,-3.0572590613737702,3.5756793215925824e-7,125.0,1.4240496813155745e-7,4.340475622653745e-7
84000.0,-7.390002006181329,267.53058215425375,-16.286040207953192,3.5705971801623564e-7,125.0,1.4287565828451873e-7,4.340603872966251e-7
84600.0,4.595364766944945,196.42981572603443,-8.672850342583843,3.5660300050518785e-7,125.0,1.430881886203306e-7,4.340221227662246e-7
85200.0,10.955927126026783,194.34948540135073,-4.489298488711938,3.560959963720104e-7,125.0,1.4360831881204073e-7,4.340235535579936e-7
85800.0,10.199276581924282,193.81828871307405,-4.9221869494067505,3.556024832320306e-7,125.0,1.4413222489079578e-7,4.340304116497554e-7
86400.0,9.550201112463187,193.46169887762466,-5.291864312137477,3.551217992464961e-7,125.0,1.44642504445882e-7,4.3403914577727154e-7
