t,signed,gross,form_b,int_prec,int_rho
22910.0,-7.0078096290414615,206.63323449568608,-4.930316424928606,-22543.42067459341,1683.311185041017
22920.0,-6.99689840298465,206.62637086356784,-4.9288055074284784,-22561.33487619443,1683.3114095133474
22930.0,-6.985983130813001,206.61950339560997,-4.927291883621365,-22579.248102848855,1683.3116340208949
22940.0,-6.975063871184548,206.6126321444678,-4.925775596522726,-22597.160346115095,1683.3118585637121
22950.0,-6.96414066001721,206.6057571364186,-4.92425665340852,-22615.07159760101,1683.3120831418466
22960.0,-6.953213586539115,206.5988784541422,-4.922735041123815,-22632.98184896352,1683.3123077553494
22970.0,-6.9422826343219475,206.5919960910327,-4.921210860426072,-22650.89109190826,1683.3125324042692
22980.0,-6.931347869767675,206.58511010567045,-4.919684029766358,-22668.799318189172,1683.3127570886543
22990.0,-6.9204093160174205,206.57822050355253,-4.918154655781109,-22686.7065196082,1683.312981808554
23000.0,-6.909467014150676,206.57132734249296,-4.916622676362749,-22704.612688014917,1683.3132065640154
23010.0,-6.898521011021684,206.56443066407095,-4.915088162990287,-22722.517815306186,1683.3134313550863
23020.0,-6.88757132546901,206.55753049676582,-4.913551136443857,-22740.421893425824,1683.313656181814
23030.0,-6.8766180102061885,206.55062686382334,-4.912011601671111,-22758.324914364253,1683.3138810442442
23040.0,-6.8656610840904655,206.54371978264558,-4.910469546332024,-22776.22687015812,1683.3141059424245
23050.0,-6.854700601168001,206.53680932437723,-4.908925043826457,-22794.12775288992,1683.3143308764002
23060.0,-6.843736579521928,206.52989551201273,-4.907378078845795,-22812.02755468764,1683.3145558462165
23070.0,-6.83276908900154,206.52297837356463,-4.905828663613647,-22829.926267724353,1683.3147808519186
23080.0,-6.821798129517356,206.5160579456869,-4.904276810877491,-22847.823884217858,1683.315005893552
23090.0,-6.8108237457194925,206.50913425611316,-4.90272256184835,-22865.720396430243,1683.3152309711606
23100.0,-6.799845999839827,206.50220734051803,-4.901165928982664,-22883.615796667564,1683.3154560847877
23110.0,-6.788864899568819,206.49527721896104,-4.89960694022011,-22901.51007727942,1683.3156812344773
23120.0,-6.777880492025385,206.48834395584163,-4.898045595095027,-22919.403230658598,1683.3159064202732
