# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c8_column_1m
# generated: 1789108343 (unix)
# geometry: column
# Column geometry: no horizontal remapping, so the reductions are over the model's own levels.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_strat,min_e_src_tropo,min_e_src_rad,min_e_src_sfc,min_e_src_sub,min_e_src_mp,min_e_src_new_strat,min_e_src_new_tropo,max_e_src_strat,max_e_src_tropo,max_e_src_rad,max_e_src_sfc,max_e_src_sub,max_e_src_mp,max_e_src_new_strat,max_e_src_new_tropo
50400.0,column,false,10659.911228256227,0.08256166931654707,0.03264062251986737,8.452463839284111e-125,3.995281777420399e-207,1.2663891105030664e-5,0.0,0.0006496958955930338,1.7387857419968012e-8,64672.060702135124,162440.53434242343,8560.09030595421,92392.79887958308,19720.957614037867,0.0,7966.584361084892,100952.85321049766
54000.0,column,false,11256.911900458057,0.0858372655636519,0.032601439486416334,2.1292819636793985e-124,1.5529230823554814e-206,1.764905577273893e-5,0.0,0.0006936944921717125,1.748026485073839e-8,64591.51702758752,168748.26535724383,9063.340355049873,98636.599631869,22519.474540189854,0.0,8531.311033584305,107699.93514388007
57600.0,column,false,11867.583362517835,0.08906809821717333,0.032563881196642254,6.625891600567769e-124,7.575173779230953e-206,2.1949352336054202e-5,0.0,0.0007167032633547442,1.757765187882324e-8,64513.80824931756,175049.9293726641,9600.30950683762,104865.11210666824,24839.67088106675,0.0,9407.228009443505,114465.44905672703
61200.0,column,false,12456.899228205468,0.08985595244458511,0.03252617923968437,1.8496257918156708e-123,2.924019813518566e-205,2.6641095509106647e-5,0.0,0.0007497365663026054,1.7668447030139067e-8,64435.97818480912,181270.64081835558,10104.18343742685,111042.45978993579,26758.074293272213,0.0,10131.452740471495,121146.71692130706
64800.0,column,false,13026.692522395984,0.09033557121394055,0.032488266738568417,4.582917665132017e-123,9.169059252162594e-205,3.522535762845964e-5,0.0,0.0007725825650379793,1.7749926552773585e-8,64357.982325780205,187415.13145007528,10612.891732566268,117090.12379759231,28343.96753968032,0.0,10730.21420187423,127703.18964310878
68400.0,column,false,13588.409930618014,0.09076771735450805,0.03245063987443805,1.2789660566212105e-122,3.420284653070881e-204,4.2676060032328984e-5,0.0,0.0008009912263709229,1.784003412423221e-8,64280.31587853492,193503.50065990613,11099.285842271447,123125.83188271555,29656.933170257176,0.0,11225.863862577102,134225.3955793262
72000.0,column,false,14139.19706736764,0.09121046741223315,0.032414140631445765,3.2196109700154075e-122,1.3466947844158776e-203,5.0099791312873615e-5,0.0,0.0008363891013851904,1.792526088750187e-8,64205.04954958043,199505.98927094584,11546.053309115317,129117.86456836952,30748.34320078295,0.0,11637.870664618926,140664.31618595085
75600.0,column,false,14673.448251742258,0.09168578644819804,0.032377476808493816,7.493247377424406e-122,5.996912544356137e-203,6.191406527607246e-5,0.0,0.0008559977666747229,1.80051535532135e-8,64129.61741168697,205430.47371619733,11992.459141160945,134988.54246503624,31649.925594478704,0.0,11978.031957153446,146981.6099039921
79200.0,column,false,15198.774066642145,0.09216441675436078,0.0323408017338337,1.8773367520928288e-121,2.8740142833187878e-201,7.239089757913979e-5,0.0,0.0008892898326742754,1.8092439837476978e-8,64053.96925139928,211279.3476937588,12399.12825656134,140841.39954823835,32390.54328890823,0.0,12256.419315073785,153241.34760370667
82800.0,column,false,15714.330601865135,0.09267872470340495,0.03230454121900592,4.087835824506122e-121,1.0694409626748806e-198,8.388504520865319e-5,0.0,0.000938276337954796,1.817260404923055e-8,63979.360389430614,217040.96282923114,12771.055318691513,146634.28907473944,33001.80463720306,0.0,12485.487162452893,159406.42016674049
86400.0,column,false,16217.419003866424,0.09317468696059485,0.03226900293963322,8.42430089624446e-121,1.0158998226295565e-196,9.813718652464711e-5,0.0,0.0009734215077703617,1.8249583997693322e-8,63906.293358762596,222711.3952632965,13113.682450186394,152344.61548671225,33502.41930043406,0.0,12671.407702341423,165459.71572542464
