# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: c9_sphere_enthalpy
# generated: 1789112317 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_mp,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_mp,max_e_src_new_tropics,max_e_src_new_extratropics
46800.0,sphere,true,1183.0021806495936,-7762.401358769984,-5235.367475774379,-131.69861186686157,-5.336001769025968,-0.04649717906866589,-18.123496638947966,-72.05425116058659,217422.07106000357,221551.52135168226,10492.828380353167,2463.0385543602106,88.63013541290297,1193.7151254640576,12616.514614826852
50400.0,sphere,true,1183.0366016191335,-8205.51663767154,-5441.159692191407,-151.6835700517599,-6.116329843109479,-0.05142863252156005,-20.628001839165417,-66.74200448742793,217705.7487200285,221584.3472131253,11108.410752698384,2546.830059824059,93.52066186403694,1284.5389259412404,13291.82478928936
54000.0,sphere,true,1183.113112033023,-8614.881522429796,-5614.793333315991,-171.9548057879528,-6.997431371173017,-0.05565601124476729,-23.168798781424073,-57.08758813647294,218064.88468623682,221685.77024008124,11701.32449345699,2619.03085744539,97.98685773418306,1375.193184694047,13933.203377890799
57600.0,sphere,true,1183.1346428121315,-8997.266677019918,-5756.189476650432,-192.83025447195078,-7.951536527969252,-0.05890020870234198,-25.763733430625415,-43.714376435993316,218465.28602615837,221912.7093226407,12271.200730103852,2685.003536238878,102.25959622106987,1465.6424464539784,14541.210650234541
61200.0,sphere,true,1183.1864566858437,-9362.322803205318,-5890.345223261542,-214.02317015790314,-8.942581852501723,-0.060897559143338935,-28.455652489787923,-26.491079060043113,218851.65706568788,222129.04189244958,12818.83533323655,2741.180142495735,106.54351528208669,1555.7915388207257,15115.851324332265
64800.0,sphere,true,1183.3115465863414,-9716.728218738708,-6124.165604640204,-235.76783308642618,-9.914205997658671,-0.06138879567581717,-31.2816315647733,-20.477966582570573,219177.39139757957,222372.53401845464,13347.972277786064,2787.779166969948,110.70623642514909,1645.610129949901,15662.382642391203
68400.0,sphere,true,1183.4983474647374,-10063.773606856472,-6329.011610877555,-258.48353845221243,-10.81674563699732,-0.06016479090261563,-34.25529035229888,-22.7555375024623,219427.9884618345,222654.18830214316,13861.190980430873,2825.3017477520802,114.6817770991606,1735.1089812345986,16184.205589637877
72000.0,sphere,true,1183.495497595268,-10403.790462368366,-6505.099887264989,-283.2130584504984,-11.613964078378226,-0.05709788703700883,-37.3722965727843,-25.07415010571333,219608.70329722913,222985.87526040975,14363.969501909485,2854.6365897362944,118.44774088090686,1824.3076245661746,16685.04371615016
75600.0,sphere,true,1183.3026193147296,-10739.289507857937,-6652.603478752958,-310.2664611193156,-12.296353943634063,-0.06290771229488228,-40.63748968697662,-27.422237966029506,219721.68503551936,223372.75934876155,14851.724472322874,2876.4230231157085,121.95570276204842,1913.050117716382,17164.551880133902
79200.0,sphere,true,1183.020590348373,-11073.170881309097,-6772.9205005548465,-339.0098117071332,-12.849014907412235,-0.0722204500688959,-44.06957131842381,-29.76567924804571,219752.8153352872,223831.9570273055,15325.827048838299,2890.9582897318405,125.22420502076237,2001.1315035675625,17627.110003593243
82800.0,sphere,true,1182.8947158258077,-11474.092500519895,-6869.145997039871,-368.23390009573103,-13.302180623682977,-0.08209476270145838,-47.691563360577625,-32.07353228286455,219693.2161943894,224372.29994906666,15787.234325566635,2897.941775663696,128.2466009005696,2088.5534184268467,18078.24680825077
86400.0,sphere,true,1182.8566757034137,-12509.733801915447,-6945.734447017565,-397.05622564934305,-13.659033182605008,-0.09276490871530868,-51.499251338317464,-34.33618093350478,219551.7211375178,224989.01209985948,16231.251558514206,2897.897793720791,131.00246690886567,2175.432865843192,18512.198340614672
