t,signed,gross,form_b,int_prec,int_rho
410.0,-9.415186459984609,204.96663268844006,-3.475550566199672,-138.47898809038134,1682.6993115297323
420.0,-9.334466839020989,205.03885209490645,-3.4426360556517466,-147.5846920540921,1682.6995524523572
430.0,-9.248922993379967,205.103830383474,-3.407859572244888,-156.60576878076483,1682.6997946357499
440.0,-9.160441049828362,205.16347878150816,-3.37194793859544,-165.53757005028766,1682.70003813631
450.0,-9.070376746429655,205.2191815444607,-3.335423637761778,-174.37727899916186,1682.7002829869452
460.0,-8.97969159072187,205.2719305498986,-3.298657311459465,-183.1233937584378,1682.7005292037713
470.0,-8.889058280411277,205.32242985836157,-3.261908223197679,-191.77534411666443,1682.7007767910593
480.0,-8.79894067123821,205.3711751251627,-3.225355259361095,-200.33321103968757,1682.701025744848
490.0,-8.70965345632001,205.41851296995742,-3.1891198671164602,-208.79752410671512,1682.7012760555313
500.0,-8.621406012078603,205.4646846495037,-3.153282861190746,-217.16911694522523,1682.7015277097062
510.0,-8.534333945412708,205.50985752407058,-3.1178965452818375,-225.4490251836419,1682.701780691467
520.0,-8.448521886666596,205.5541477334463,-3.0829937850139686,-233.63841515201096,1682.702034983308
530.0,-8.364019513894496,205.59763621247149,-3.0485937414578075,-241.73853454794482,1682.7022905667511
540.0,-8.28085267008341,205.64037981699278,-3.0147065116307203,-249.75067861901684,1682.7025474227662
550.0,-8.199031190123646,205.68241908298572,-2.981336025017299,-257.6761671934887,1682.7028055320616
560.0,-8.118554215839481,205.7237835919708,-2.9484820585348643,-265.516329223206,1682.7030648752775
570.0,-8.039413882183135,205.76449556862292,-2.916141655532556,-273.27249248202236,1682.7033254331157
580.0,-7.961597662607234,205.80457228180498,-2.884310135790656,-280.94597677278847,1682.7035871864184
590.0,-7.885090164270994,205.8440278130348,-2.8529815987894835,-288.5380895033668,1682.7038501162308
600.0,-7.809874088143321,205.88287400385533,-2.8221495975431026,-296.0501228505213,1682.70411420383
