run,output_index,is_active,commit,commit_dirty,started,finished,exit_status,slurm_job_id,partition,ntasks,float_type,graceful_exit,n_times,last_time,status
d1_column_1m_ice_no_vdiff,0000,True,cf1e9c7c516528fdcc8126687ac15823170e1d70,unknown,2026-09-11T13:21:12+02:00,2026-09-11T13:37:09+02:00,0,13412243,hpda2_test,,Float64,True,,,unclassified
d4_column_edmf,0000,False,,,,,,,,,,False,,,unclassified
d4_column_edmf,0001,True,fe69cd068e9e67b1fe98ec2dbb60fb1b49eeb2bf,unknown,2026-09-18T13:29:49+02:00,2026-09-18T13:52:42+02:00,0,13503558,hpda2_test,1,Float64,True,25,86400.0,unclassified
d4_column_edmf_enthalpy,0000,False,,,,,,,,,,False,,,unclassified
d4_column_edmf_enthalpy,0001,True,fe69cd068e9e67b1fe98ec2dbb60fb1b49eeb2bf,unknown,2026-09-18T13:29:49+02:00,2026-09-18T13:52:53+02:00,0,13503559,hpda2_test,1,Float64,True,25,86400.0,unclassified
d4_column_edmf_notags,0000,True,41adabc5e5e637b148383ca5f9c11e6a34fc6b74,unknown,2026-09-11T14:14:02+02:00,2026-09-11T14:32:32+02:00,0,13414334,hpda2_test,,Float64,True,,,unclassified
d4_column_edmf_vd,0000,True,fe69cd068e9e67b1fe98ec2dbb60fb1b49eeb2bf,unknown,2026-09-18T13:29:49+02:00,2026-09-18T13:52:42+02:00,0,13503560,hpda2_test,1,Float64,True,25,86400.0,unclassified
d4_column_edmf_vd_float32,0000,True,9dd30a903809638514529509d624c89a84ff53af,unknown,2026-09-18T16:34:01+02:00,2026-09-18T17:00:59+02:00,0,13503987,hpda2_test,1,Float32,True,25,86400.0,unclassified
d5_column_edmf_ice,0000,True,fe69cd068e9e67b1fe98ec2dbb60fb1b49eeb2bf,unknown,2026-09-18T13:29:49+02:00,2026-09-18T13:52:11+02:00,0,13503561,hpda2_test,1,Float64,True,7,21600.0,unclassified
g1_base_d4_float32,0000,True,50b2a4d225055a224168e1da85294e7479c68a5d,unknown,2026-09-19T00:54:27+02:00,2026-09-19T01:20:34+02:00,0,13504828,hpda2_test,1,Float32,True,25,86400.0,unclassified
g1_inc_d4,0000,True,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19T01:27:11+02:00,2026-09-19T01:57:55+02:00,0,13504889,hpda2_test,1,Float64,True,25,86400.0,unclassified
g1_inc_d4_2c,0000,True,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19T15:46:36+02:00,2026-09-19T16:16:04+02:00,0,13509167,hpda2_test,1,Float64,True,25,86400.0,unclassified
g1_inc_d4_float32,0000,True,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19T01:27:11+02:00,2026-09-19T01:57:32+02:00,0,13504891,hpda2_test,1,Float32,True,25,86400.0,unclassified
g1_inc_newton10_d4,0000,True,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19T02:00:33+02:00,2026-09-19T02:30:20+02:00,0,13504927,hpda2_test,1,Float64,True,25,86400.0,unclassified
g1_inc_newton_d4,0000,True,c0bc637f9c7749a6d42e7fc1d355843c2c30cd64,unknown,2026-09-19T01:27:11+02:00,2026-09-19T01:58:29+02:00,0,13504890,hpda2_test,1,Float64,True,25,86400.0,unclassified
g1_ref_newton10_d4,0000,True,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-19T02:00:33+02:00,2026-09-19T02:30:04+02:00,0,13504926,hpda2_test,1,Float64,True,25,86400.0,unclassified
g1_ref_newton_d4,0000,True,9aeb52059e3518868ed25c04c5f5029e7a0384ab,unknown,2026-09-19T00:54:27+02:00,2026-09-19T01:23:27+02:00,0,13504827,hpda2_test,1,Float64,True,25,86400.0,unclassified
g2_v2_diag_newton2,0000,True,,,,,,,,,Float32,True,3,7200.0,unclassified
g2_v2_diag_nosponge,0000,True,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19T10:24:15+02:00,2026-09-19T11:58:24+02:00,0,13505762,hpda2_test,1,Float32,True,4,10800.0,unclassified
g2_v2_diag_notopo,0000,True,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19T10:24:15+02:00,2026-09-19T11:50:36+02:00,0,13505764,hpda2_test,1,Float32,True,4,10800.0,unclassified
g2_v2_f64_2h,0000,True,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19T15:46:36+02:00,2026-09-19T17:34:13+02:00,0,13509165,hpda2_test,1,Float64,True,3,7200.0,unclassified
g2_v2_nosponge_2h,0000,True,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19T15:46:36+02:00,2026-09-19T17:24:24+02:00,0,13509166,hpda2_test,1,Float32,True,3,7200.0,unclassified
g2_v2_sphere,0000,True,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19T04:22:39+02:00,2026-09-19T14:34:44+02:00,0,13504999,hpda2_compute,24,Float32,True,241,864000.0,unclassified
g2_v2_sphere_mix,0000,True,846ef55d0aea31856403db4d0add994c45208500,unknown,2026-09-21T11:53:01+02:00,2026-09-22T04:24:24+02:00,0,13548198,hpda2_compute,24,Float32,True,241,864000.0,unclassified
g2_v2_sphere_mix_oom_13538434,0000,True,846ef55d0aea31856403db4d0add994c45208500,unknown,2026-09-21T10:53:57+02:00,2026-09-21T11:43:23+02:00,1,13538434,hpda2_compute,24,Float32,True,0,,unclassified
g2_v2_sphere_n2,0000,True,04d639160aafea9a812cadb13f6161377f27c479,unknown,2026-09-19T14:35:06+02:00,2026-09-20T04:52:48+02:00,0,13505896,hpda2_compute,24,Float32,True,241,864000.0,unclassified
