interval_start_day,set,quantity,rate_kg_m2_per_day_or_stock_kg_m2,cells
6.75,P,led_inc_fcg,0.0053727909495656775,60
6.75,P,overclaim,1.0601621999502806e-11,60
6.75,P_adj,rescale,0.0,0
6.75,P_adj,empty,0.0,0
6.75,P_adj,repair,0.0,0
6.75,P_adj,repairnet,0.0,0
6.75,P_adj,inc_left,0.0,0
6.75,P_adj,inc_moved,0.0,0
6.75,P_adj,led_fix_pbl,0.0,0
6.75,P_adj,led_fix_free,0.0,0
6.75,P_adj,led_fix_evap,0.0,0
6.75,P_adj,led_fix_fcg,0.0,0
6.75,P_adj,led_inc_pbl,0.0,0
6.75,P_adj,led_inc_free,0.0,0
6.75,P_adj,led_inc_evap,0.0,0
6.75,P_adj,led_inc_fcg,0.0,0
6.75,P_adj,overclaim,0.0,0
6.75,P_far,rescale,0.0,60
6.75,P_far,empty,0.0,60
6.75,P_far,repair,0.0,60
6.75,P_far,repairnet,0.0,60
6.75,P_far,inc_left,1.0954895573208341e-11,60
6.75,P_far,inc_moved,0.5629430861444096,60
6.75,P_far,led_fix_pbl,0.0,60
6.75,P_far,led_fix_free,0.0,60
6.75,P_far,led_fix_evap,0.0,60
6.75,P_far,led_fix_fcg,0.0,60
6.75,P_far,led_inc_pbl,0.4454506155093667,60
6.75,P_far,led_inc_free,0.12464946374621838,60
6.75,P_far,led_inc_evap,0.36783848035727507,60
6.75,P_far,led_inc_fcg,0.0053727909495656775,60
6.75,P_far,overclaim,1.0601621999502806e-11,60
7.0,N,rescale,0.0,0
7.0,N,empty,0.0,0
7.0,N,repair,0.0,0
7.0,N,repairnet,0.0,0
7.0,N,inc_left,0.0,0
7.0,N,inc_moved,0.0,0
7.0,N,led_fix_pbl,0.0,0
7.0,N,led_fix_free,0.0,0
7.0,N,led_fix_evap,0.0,0
7.0,N,led_fix_fcg,0.0,0
7.0,N,led_inc_pbl,0.0,0
7.0,N,led_inc_free,0.0,0
7.0,N,led_inc_evap,0.0,0
7.0,N,led_inc_fcg,0.0,0
7.0,N,overclaim,0.0,0
7.0,P,rescale,0.0,60
7.0,P,empty,0.0,60
7.0,P,repair,0.0,60
7.0,P,repairnet,0.0,60
7.0,P,inc_left,1.1246035167179624e-11,60
7.0,P,inc_moved,0.22787233128665743,60
7.0,P,led_fix_pbl,0.0,60
7.0,P,led_fix_free,0.0,60
7.0,P,led_fix_evap,0.0,60
7.0,P,led_fix_fcg,0.0,60
7.0,P,led_inc_pbl,0.18323363018734434,60
7.0,P,led_inc_free,0.049348557914078196,60
7.0,P,led_inc_evap,0.15193919400189268,60
7.0,P,led_inc_fcg,0.00226228142469114,60
7.0,P,overclaim,1.0717455214365772e-11,60
7.0,P_adj,rescale,0.0,0
7.0,P_adj,empty,0.0,0
7.0,P_adj,repair,0.0,0
7.0,P_adj,repairnet,0.0,0
7.0,P_adj,inc_left,0.0,0
7.0,P_adj,inc_moved,0.0,0
7.0,P_adj,led_fix_pbl,0.0,0
7.0,P_adj,led_fix_free,0.0,0
7.0,P_adj,led_fix_evap,0.0,0
7.0,P_adj,led_fix_fcg,0.0,0
7.0,P_adj,led_inc_pbl,0.0,0
7.0,P_adj,led_inc_free,0.0,0
7.0,P_adj,led_inc_evap,0.0,0
7.0,P_adj,led_inc_fcg,0.0,0
7.0,P_adj,overclaim,0.0,0
7.0,P_far,rescale,0.0,60
7.0,P_far,empty,0.0,60
7.0,P_far,repair,0.0,60
7.0,P_far,repairnet,0.0,60
7.0,P_far,inc_left,1.1246035167179624e-11,60
7.0,P_far,inc_moved,0.22787233128665743,60
7.0,P_far,led_fix_pbl,0.0,60
7.0,P_far,led_fix_free,0.0,60
7.0,P_far,led_fix_evap,0.0,60
7.0,P_far,led_fix_fcg,0.0,60
7.0,P_far,led_inc_pbl,0.18323363018734434,60
7.0,P_far,led_inc_free,0.049348557914078196,60
7.0,P_far,led_inc_evap,0.15193919400189268,60
7.0,P_far,led_inc_fcg,0.00226228142469114,60
7.0,P_far,overclaim,1.0717455214365772e-11,60
7.25,N,rescale,0.0,0
7.25,N,empty,0.0,0
7.25,N,repair,0.0,0
7.25,N,repairnet,0.0,0
7.25,N,inc_left,0.0,0
7.25,N,inc_moved,0.0,0
7.25,N,led_fix_pbl,0.0,0
7.25,N,led_fix_free,0.0,0
7.25,N,led_fix_evap,0.0,0
7.25,N,led_fix_fcg,0.0,0
7.25,N,led_inc_pbl,0.0,0
7.25,N,led_inc_free,0.0,0
7.25,N,led_inc_evap,0.0,0
7.25,N,led_inc_fcg,0.0,0
7.25,N,overclaim,0.0,0
7.25,P,rescale,0.0,60
7.25,P,empty,0.0,60
7.25,P,repair,0.0,60
7.25,P,repairnet,0.0,60
7.25,P,inc_left,1.1172315199185045e-11,60
7.25,P,inc_moved,0.25877956144062647,60
7.25,P,led_fix_pbl,0.0,60
7.25,P,led_fix_free,0.0,60
7.25,P,led_fix_evap,0.0,60
7.25,P,led_fix_fcg,0.0,60
7.25,P,led_inc_pbl,0.21078489725762278,60
7.25,P,led_inc_free,0.05243166896741805,60
7.25,P,led_inc_evap,0.17776147015604185,60
7.25,P,led_inc_fcg,0.0025019354045893987,60
7.25,P,overclaim,1.096688075379258e-11,60
7.25,P_adj,rescale,0.0,0
7.25,P_adj,empty,0.0,0
7.25,P_adj,repair,0.0,0
7.25,P_adj,repairnet,0.0,0
7.25,P_adj,inc_left,0.0,0
7.25,P_adj,inc_moved,0.0,0
7.25,P_adj,led_fix_pbl,0.0,0
7.25,P_adj,led_fix_free,0.0,0
7.25,P_adj,led_fix_evap,0.0,0
7.25,P_adj,led_fix_fcg,0.0,0
7.25,P_adj,led_inc_pbl,0.0,0
7.25,P_adj,led_inc_free,0.0,0
7.25,P_adj,led_inc_evap,0.0,0
7.25,P_adj,led_inc_fcg,0.0,0
7.25,P_adj,overclaim,0.0,0
7.25,P_far,rescale,0.0,60
7.25,P_far,empty,0.0,60
7.25,P_far,repair,0.0,60
7.25,P_far,repairnet,0.0,60
7.25,P_far,inc_left,1.1172315199185045e-11,60
7.25,P_far,inc_moved,0.25877956144062647,60
7.25,P_far,led_fix_pbl,0.0,60
7.25,P_far,led_fix_free,0.0,60
7.25,P_far,led_fix_evap,0.0,60
7.25,P_far,led_fix_fcg,0.0,60
7.25,P_far,led_inc_pbl,0.21078489725762278,60
7.25,P_far,led_inc_free,0.05243166896741805,60
7.25,P_far,led_inc_evap,0.17776147015604185,60
7.25,P_far,led_inc_fcg,0.0025019354045893987,60
7.25,P_far,overclaim,1.096688075379258e-11,60
7.5,N,rescale,0.0,0
7.5,N,empty,0.0,0
7.5,N,repair,0.0,0
7.5,N,repairnet,0.0,0
7.5,N,inc_left,0.0,0
7.5,N,inc_moved,0.0,0
7.5,N,led_fix_pbl,0.0,0
7.5,N,led_fix_free,0.0,0
7.5,N,led_fix_evap,0.0,0
7.5,N,led_fix_fcg,0.0,0
7.5,N,led_inc_pbl,0.0,0
7.5,N,led_inc_free,0.0,0
7.5,N,led_inc_evap,0.0,0
7.5,N,led_inc_fcg,0.0,0
7.5,N,overclaim,0.0,0
7.5,P,rescale,0.0,60
7.5,P,empty,0.0,60
7.5,P,repair,0.0,60
7.5,P,repairnet,0.0,60
7.5,P,inc_left,1.1444313638094981e-11,60
7.5,P,inc_moved,0.2997684204732643,60
7.5,P,led_fix_pbl,0.0,60
7.5,P,led_fix_free,0.0,60
7.5,P,led_fix_evap,0.0,60
7.5,P,led_fix_fcg,0.0,60
7.5,P,led_inc_pbl,0.24340851072193087,60
7.5,P,led_inc_free,0.06120578411030663,60
7.5,P,led_inc_evap,0.2066668684366608,60
7.5,P,led_inc_fcg,0.0032771942819483117,60
7.5,P,overclaim,1.1672426069794492e-11,60
7.5,P_adj,rescale,0.0,0
7.5,P_adj,empty,0.0,0
7.5,P_adj,repair,0.0,0
7.5,P_adj,repairnet,0.0,0
