# source_tag_extrema.csv, from analysis/reduce_run.jl
# run: v3_sphere_float32
# generated: 1789383369 (unix)
# geometry: sphere
# NOTE: sphere. The NetCDF writer bilinearly remaps to lat-lon, so every
# reduction here is over the remapped field, not over the model's own columns.
# max |e_src_res| and the min and max of every tag. e_src_res covers the region tags only, so a source tag going negative shows up in the minima and nowhere else.
time,geometry,remapped,max_abs_e_src_res,min_e_src_tropics,min_e_src_extratropics,min_e_src_sfc,min_e_src_rad,min_e_src_mp,min_e_src_new_tropics,min_e_src_new_extratropics,max_e_src_tropics,max_e_src_extratropics,max_e_src_sfc,max_e_src_rad,max_e_src_mp,max_e_src_new_tropics,max_e_src_new_extratropics
43200.0,sphere,true,3263.52001953125,-10265.673828125,-6494.52490234375,-116.49118041992188,-31.47518539428711,-0.6785536408424377,-48.777164459228516,-147.32308959960938,222969.203125,227099.921875,10970.2373046875,2571.153076171875,90.52479553222656,1130.953857421875,13205.2412109375
46800.0,sphere,true,3475.9599609375,-9857.6865234375,-6032.4404296875,-126.49352264404297,-29.39769172668457,-0.3938692510128021,-52.578224182128906,-155.5886688232422,222585.71875,226749.40625,11712.828125,2685.776123046875,96.88507080078125,1223.5172119140625,14041.138671875
50400.0,sphere,true,3670.9814453125,-9434.6884765625,-5562.35107421875,-135.9200439453125,-22.42892837524414,-0.47607022523880005,-56.051204681396484,-157.5390625,222189.953125,226381.421875,12432.26171875,2787.4931640625,102.69623565673828,1315.5699462890625,14841.3642578125
54000.0,sphere,true,3859.992919921875,-9011.9921875,-5525.2607421875,-144.71823120117188,-8.645450592041016,-0.5669155120849609,-59.26472854614258,-151.85214233398438,222225.046875,226014.53125,13129.4833984375,2876.902099609375,108.09002685546875,1407.0308837890625,15607.1494140625
57600.0,sphere,true,4048.3359375,-8603.044921875,-5765.0341796875,-153.5906524658203,-9.520071983337402,-0.6468292474746704,-62.62409973144531,-138.03285217285156,222550.8125,225663.1875,13805.4052734375,2954.517578125,113.2991714477539,1497.8441162109375,16340.44140625
61200.0,sphere,true,4237.6796875,-8217.9521484375,-6001.95361328125,-162.21006774902344,-9.505538940429688,-0.7192338705062866,-65.96554565429688,-116.46553039550781,222869.734375,225336.640625,14461.3017578125,3021.56201171875,118.53994750976562,1588.014404296875,17043.087890625
64800.0,sphere,true,4421.5625,-7861.7294921875,-6220.92529296875,-170.22671508789062,-10.43709945678711,-0.7855367660522461,-69.34149932861328,-87.9526138305664,223172.78125,225040.59375,15098.046875,3078.05712890625,123.64898681640625,1677.6346435546875,17716.341796875
68400.0,sphere,true,4598.3671875,-7530.6083984375,-6475.47509765625,-177.63368225097656,-11.381848335266113,-0.8450747132301331,-72.73375701904297,-53.60634231567383,223501.859375,224777.25,15716.517578125,3124.444091796875,128.55160522460938,1766.849609375,18361.25
72000.0,sphere,true,4759.375,-7215.15625,-6709.36328125,-184.47056579589844,-12.336442947387695,-0.9030145406723022,-76.11247253417969,-50.14957809448242,223798.453125,224540.921875,16317.1181640625,3161.06787109375,133.18038940429688,1855.723876953125,18978.552734375
75600.0,sphere,true,4914.3671875,-6996.94482421875,-6915.49267578125,-190.8296661376953,-13.298696517944336,-0.9577289819717407,-79.45928955078125,-50.74323654174805,224059.84375,224744.046875,16900.416015625,3188.2666015625,137.53292846679688,1944.3671875,19569.052734375
79200.0,sphere,true,5056.75,-7234.98583984375,-7095.77490234375,-196.8258056640625,-14.269556045532227,-1.0086153745651245,-82.67457580566406,-51.34943771362305,224293.0,225059.859375,17463.99609375,3206.348388671875,141.59024047851562,2032.972900390625,20134.1484375
82800.0,sphere,true,5183.62548828125,-7464.4169921875,-7252.53857421875,-202.55148315429688,-15.250947952270508,-1.056424856185913,-85.68167114257812,-52.04035949707031,224501.5,225364.15625,18005.369140625,3215.64794921875,145.322998046875,2121.51904296875,20676.478515625
86400.0,sphere,true,5302.52392578125,-7690.08984375,-7389.18603515625,-208.07333374023438,-16.2441463470459,-1.1013299226760864,-88.39170837402344,-52.89023208618164,224689.0625,225663.890625,18524.83203125,3217.369384765625,148.74618530273438,2210.008056640625,21198.05859375
